"","phoneme","grapheme","wi","si","sm","sf","wf"
"151","tʃ","c",5,1,0,0,0
"152","tʃ","cc",0,0,0,0,0
"153","tʃ","ch",85,22,2,4,64
"154","tʃ","ci",0,0,0,0,0
"155","tʃ","t",0,41,0,0,0
"156","tʃ","tch",0,9,0,2,26
"157","tʃ","ti",0,4,0,0,0
"158","d","d",349,315,20,83,412
"159","d","dd",0,29,1,1,2
"160","d","ddh",0,0,0,0,0
"161","d","ed",0,0,0,0,17
"162","d","ld",0,0,0,0,3
"163","ð","th",17,39,4,2,7
"164","ə","_e",0,1,195,0,0
"165","ə","a",135,49,151,141,59
"166","ə","a_e",0,6,23,0,0
"167","ə","ae",0,0,0,0,0
"168","ə","ah",0,0,0,0,1
"169","ə","ai",0,0,9,0,0
"170","ə","au",1,0,0,0,0
"171","ə","au_e",0,0,1,0,0
"172","ə","e",4,24,320,87,1
"173","ə","e_e",0,7,19,0,0
"174","ə","ea",0,0,3,0,0
"175","ə","ea_e",0,0,0,0,0
"176","ə","ei",0,0,1,0,0
"177","ə","eo",0,0,4,0,0
"178","ə","eou",0,0,2,0,0
"179","ə","ha",0,0,0,0,0
"180","ə","he",0,0,0,0,0
"181","ə","hi",0,0,0,0,0
"182","ə","ho",0,0,0,1,0
"183","ə","i",0,3,37,118,0
"184","ə","i_e",0,0,13,0,0
"185","ə","ia",0,0,0,0,0
"186","ə","ia_e",0,0,0,0,0
"187","ə","ie",0,0,4,0,0
"188","ə","o",12,17,232,142,0
"189","ə","o_e",0,0,6,0,0
"190","ə","oi",0,0,0,0,0
"191","ə","oi_e",0,0,1,0,0
"192","ə","on",0,0,0,0,0
"193","ə","ou",0,14,14,4,0
"194","ə","u",1,12,83,21,0
"195","ə","u_e",0,0,4,0,0
"196","ə","ua",0,0,0,2,0
"197","ə","ui",0,0,1,0,0
"198","ə","y",0,0,0,1,0
"199","ɛ","a",9,1,1,58,0
"200","ɛ","a_e",0,0,31,0,0
"201","ɛ","aa",0,0,0,0,0
"202","ɛ","ae",1,0,0,0,0
"203","ɛ","ah",0,0,0,0,0
"204","ɛ","ai",6,0,20,5,0
"205","ɛ","ai_e",0,0,1,0,0
"206","ɛ","ay",0,0,0,0,0
"207","ɛ","aye",0,0,1,0,0
"208","ɛ","e",83,8,386,231,0
"209","ɛ","e_e",9,0,38,0,0
"210","ɛ","ea",0,0,47,29,0
"211","ɛ","ea_e",0,0,1,0,0
"212","ɛ","eh",0,0,0,0,0
"213","ɛ","ei",0,0,2,1,0
"214","ɛ","eo",0,0,0,2,0
"215","ɛ","hei",0,0,0,0,0
"216","ɛ","ie",0,0,5,0,0
"217","ɛ","u",0,0,0,3,0
"218","f","f",345,149,25,14,45
"219","f","ff",0,46,1,2,20
"220","f","ft",0,1,0,0,0
"221","f","gh",0,1,0,1,6
"222","f","lf",0,0,0,0,2
"223","f","ph",14,19,3,0,6
"224","f","pph",0,1,0,0,0
"225","g","g",230,156,1,15,57
"226","g","gg",0,33,0,3,1
"227","g","gh",3,1,0,0,0
"228","g","gu",5,2,0,0,2
"229","dʒ","d",0,13,0,0,0
"230","dʒ","dg",0,3,0,1,23
"231","dʒ","di",0,1,0,0,0
"232","dʒ","dj",0,2,0,0,0
"233","dʒ","g",21,66,0,3,65
"234","dʒ","gg",0,2,0,0,0
"235","dʒ","gi",0,2,0,0,0
"236","dʒ","j",71,18,0,0,0
"237","gz","x",0,0,0,9,0
"238","h","h",260,52,0,0,0
"239","h","j",0,0,0,0,0
"240","h","wh",4,0,0,0,0
"241","i","a",0,0,0,0,0
"242","i","ae",0,0,0,0,0
"243","i","ay",0,0,0,0,0
"244","i","e",18,2,0,98,14
"245","i","e_e",2,0,13,0,0
"246","i","ea",11,0,89,60,7
"247","i","ea_e",1,0,14,0,0
"248","i","ee",1,0,83,42,24
"249","i","ee_e",0,0,13,0,0
"250","i","ei",1,0,3,3,0
"251","i","ei_e",0,0,3,0,0
"252","i","eo",0,0,0,1,0
"253","i","ey",0,0,1,5,17
"254","i","i",0,1,2,95,15
"255","i","i_e",0,3,15,0,0
"256","i","ie",0,1,25,4,17
"257","i","ie_e",0,0,7,0,0
"258","i","is",0,0,0,0,0
"259","i","oe",0,0,0,0,0
"260","i","y",0,4,0,21,443
"261","j","i",0,4,16,0,0
"262","j","ill",0,0,0,0,0
"263","j","j",0,0,0,0,0
"264","j","ll",0,1,0,0,0
"265","j","y",34,8,3,0,0
"266","jɚ","u",0,0,1,0,0
"267","jɚ","u_e",0,0,4,0,0
"268","jə","u",0,0,0,13,0
"269","jə","ua",0,1,0,0,0
"270","ju","eau",0,0,0,2,0
"271","ju","eu",0,0,0,0,0
"272","ju","eue",0,0,0,0,0
"273","ju","ew",0,0,0,0,4
"274","ju","ewe",1,0,0,0,0
"275","ju","hu",1,0,0,0,0
"276","ju","ou",0,0,0,0,0
"277","ju","u",11,0,1,44,1
"278","ju","u_e",4,1,17,0,0
"279","ju","ua",0,1,0,0,0
"280","ju","ue",0,0,1,0,6
"281","ju","ugh",0,0,0,0,0
"282","ju","ui",0,0,0,1,0
"283","ju","ut",0,0,0,0,0
"284","ju","uu",0,0,1,0,0
"285","jʊ","eu",0,0,0,0,0
"286","jʊ","u",2,0,0,6,0
"287","jʊ","u_e",0,0,3,0,0
"288","k","c",464,193,123,85,40
"289","k","cc",0,17,0,0,0
"290","k","cch",0,1,0,0,0
"291","k","ch",10,9,14,1,6
"292","k","ck",0,74,5,14,86
"293","k","cq",0,0,0,0,0
"294","k","k",41,91,34,20,184
"295","k","kh",1,0,0,0,0
"296","k","kk",0,0,0,0,0
"297","k","lk",0,2,1,0,11
"298","k","q",23,13,17,0,0
"299","k","qu",0,4,1,0,4
"300","k","x",0,0,0,8,0
"301","ks","x",0,0,6,49,24
"302","kʃ","x",0,0,0,1,0
"303","kʃ","xi",0,0,0,1,0
"304","l","l",242,313,559,105,539
"305","l","ll",0,105,3,17,81
"306","l","sl",0,1,0,0,2
"307","m","gm",0,0,0,0,0
"308","m","lm",0,1,0,0,3
"309","m","m",317,255,78,143,194
"310","m","mb",0,1,0,0,13
"311","m","mm",0,39,0,0,0
"312","m","mn",0,0,0,0,4
"313","m","thm",0,0,0,0,0
"314","n","dn",0,0,0,0,0
"315","n","gn",3,2,0,1,5
"316","n","kn",21,2,0,0,0
"317","n","ln",0,0,0,0,0
"318","n","mn",0,0,0,0,0
"319","n","n",125,364,459,428,604
"320","n","nn",0,40,2,0,1
"321","n","pn",1,0,0,0,0
"322","ŋ","n",0,0,56,59,0
"323","ŋ","nd",0,0,0,1,0
"324","ŋ","ng",0,0,15,13,233
"325","ŋ","ngu",0,0,0,0,1
"326","nj","gn",0,1,0,0,0
"327","nj","n",0,0,0,0,0
"328","oʊ","aoh",0,0,0,0,1
"329","oʊ","au",0,0,0,0,0
"330","oʊ","au_e",0,0,0,0,0
"331","oʊ","aux",0,0,0,0,0
"332","oʊ","eau",0,0,0,0,0
"333","oʊ","eaux",0,0,0,0,0
"334","oʊ","eou",0,0,0,0,0
"335","oʊ","ew",0,0,1,1,0
"336","oʊ","o",15,4,52,128,54
"337","oʊ","o_e",0,2,116,0,0
"338","oʊ","oa",4,0,40,9,1
"339","oʊ","oa_e",0,0,0,0,0
"340","oʊ","oe",0,0,2,1,5
"341","oʊ","oh",0,0,0,0,0
"342","oʊ","oo",0,0,0,0,0
"343","oʊ","os",0,0,0,0,0
"344","oʊ","ot",0,0,0,0,1
"345","oʊ","ou",0,0,4,0,0
"346","oʊ","ou_e",0,0,1,0,0
"347","oʊ","ough",0,1,0,1,4
"348","oʊ","ow",2,0,10,16,41
"349","oʊ","owe",1,0,0,0,0
"350","aʊ","ao",0,0,0,0,0
"351","aʊ","au",0,0,1,1,0
"352","aʊ","ho",1,0,0,0,0
"353","aʊ","hou",1,0,0,0,0
"354","aʊ","o",3,0,0,2,0
"355","aʊ","ou",15,1,64,5,0
"356","aʊ","ou_e",1,0,22,0,0
"357","aʊ","ough",0,0,1,0,1
"358","aʊ","ow",1,0,20,21,15
"359","aʊ","ow_e",0,0,1,0,0
"360","aʊ","owe",0,0,0,0,0
"361","p","bp",0,0,0,0,0
"362","p","gh",0,0,0,0,1
"363","p","p",472,241,149,47,202
"364","p","pp",0,66,2,1,0
"365","ɹ","lo",0,0,0,0,0
"366","ɹ","o",0,0,0,0,0
"367","ɹ","or",0,0,1,0,0
"368","ɹ","r",301,210,1155,511,751
"369","ɹ","ra",0,0,0,1,0
"370","ɹ","rh",4,0,0,0,0
"371","ɹ","ro",0,0,1,0,0
"372","ɹ","rps",0,0,0,0,0
"373","ɹ","rr",0,72,0,8,2
"374","ɹ","rrh",0,0,0,0,0
"375","ɹ","rt",0,0,0,0,0
"376","ɹ","wr",23,3,1,0,0
"377","s","c",35,112,3,11,113
"378","s","es",0,0,0,0,4
"379","s","ps",2,0,0,0,0
"380","s","s",823,324,129,34,187
"381","s","sc",5,4,0,0,0
"382","s","ss",0,58,2,4,121
"383","s","st",0,13,0,1,0
"384","s","sw",1,1,0,0,0
"385","s","ts",0,0,0,0,0
"386","s","tz",0,0,0,0,1
"387","s","z",0,2,0,0,2
"388","ʃ","c",0,3,0,2,0
"389","ʃ","ch",3,3,0,0,2
"390","ʃ","chs",0,0,0,0,0
"391","ʃ","ci",0,16,0,0,0
"392","ʃ","s",2,0,0,0,0
"393","ʃ","sc",0,0,0,0,0
"394","ʃ","sch",0,0,0,0,0
"395","ʃ","sci",0,0,0,0,0
"396","ʃ","sh",93,47,3,10,74
"397","ʃ","shh",0,0,0,0,0
"398","ʃ","shi",0,2,0,0,0
"399","ʃ","si",0,2,0,0,0
"400","ʃ","ss",0,3,0,0,0
"401","ʃ","ssi",0,11,0,0,0
"402","ʃ","t",0,4,0,0,0
"403","ʃ","ti",0,111,0,0,0
"404","ʃ","xi",0,0,0,0,0
"405","t","bt",0,1,0,0,1
"406","t","ct",0,0,0,0,0
"407","t","d",0,0,0,0,0
"408","t","dt",0,0,0,0,0
"409","t","ed",0,0,0,0,20
"410","t","pt",0,0,2,0,1
"411","t","t",324,507,316,91,850
"412","t","th",0,0,0,0,0
"413","t","tt",0,101,0,1,9
"414","t","z",0,0,0,1,0
"415","θ","th",59,26,0,19,52
"416","θ","tth",0,0,0,0,0
"417","ts","z",0,0,0,0,0
"418","u","eu",0,0,0,2,0
"419","u","eu_e",0,0,0,0,0
"420","u","ew",0,0,5,5,18
"421","u","ewe",0,0,2,0,0
"422","u","ieu",0,0,0,1,0
"423","u","ioux",0,0,0,0,0
"424","u","o",0,0,3,7,6
"425","u","o_e",0,0,8,0,0
"426","u","oe",0,0,0,3,3
"427","u","oo",1,0,96,29,13
"428","u","oo_e",1,0,9,0,0
"429","u","ooh",0,0,0,0,0
"430","u","ou",0,0,5,8,1
"431","u","ou_e",0,0,1,0,0
"432","u","ough",0,0,0,0,1
"433","u","oup",0,0,0,0,0
"434","u","ous",0,0,0,0,0
"435","u","u",0,0,4,48,3
"436","u","u_e",0,0,31,0,0
"437","u","ua",0,0,1,0,0
"438","u","ue",0,0,3,2,8
"439","u","ui",0,0,5,3,0
"440","u","ui_e",0,0,3,0,0
"441","u","wo",0,0,0,0,1
"442","ʊ","eu",0,0,0,0,0
"443","ʊ","o",0,0,3,1,0
"444","ʊ","oo",0,0,50,11,0
"445","ʊ","ou",0,0,5,2,0
"446","ʊ","ow",0,0,0,0,1
"447","ʊ","u",0,0,25,14,0
"448","ʊ","u_e",0,0,2,0,0
"449","ʊ","uo",0,0,0,0,0
"450","v","f",0,0,0,0,1
"451","v","lv",0,0,0,0,1
"452","v","ph",0,0,0,0,0
"453","v","v",77,197,16,21,97
"454","v","vv",0,0,0,0,0
"455","w","ju",0,0,0,0,0
"456","w","o",3,4,1,0,0
"457","w","ou",0,0,0,0,0
"458","w","u",0,3,60,0,0
"459","w","w",196,49,60,0,0
"460","w","wh",30,6,1,0,0
"461","z","cs",0,0,0,0,0
"462","z","cz",0,0,0,0,0
"463","z","ds",0,0,0,0,0
"464","z","es",0,0,0,2,20
"465","z","s",0,83,4,11,190
"466","z","si",0,0,0,2,0
"467","z","ss",0,3,0,0,0
"468","z","ts",0,0,0,0,0
"469","z","tz",0,0,0,0,0
"470","z","x",0,1,0,0,0
"471","z","z",12,26,0,0,37
"472","z","zz",0,10,0,1,4
"473","ʒ","g",0,0,0,0,2
"474","ʒ","j",0,0,0,0,0
"475","ʒ","s",0,9,0,2,0
"476","ʒ","si",0,7,0,0,0
"477","ʒ","ti",0,0,0,0,0
"478","ʒ","z",0,0,0,0,0
