"","phoneme","grapheme","wi","si","sm","sf","wf"
"1","æ","a",26,2,152,52,0
"2","æ","a_e",0,1,5,0,0
"3","æ","aha",0,0,0,0,0
"4","æ","ai",0,0,0,0,0
"5","æ","au",2,0,2,1,0
"6","æ","ea",0,0,0,0,0
"7","æ","eah",0,0,0,0,0
"8","æ","i_e",0,0,0,0,0
"9","ʌ","_e",0,0,7,0,0
"10","ʌ","a",0,0,2,0,0
"11","ʌ","au_e",0,0,1,0,0
"12","ʌ","o",5,0,10,15,0
"13","ʌ","o_e",0,0,13,0,0
"14","ʌ","oe",0,0,1,0,0
"15","ʌ","oo",0,0,1,0,0
"16","ʌ","ou",0,0,3,5,0
"17","ʌ","u",17,0,99,41,0
"18","ʌ","u_e",0,0,1,0,0
"19","ʌ","uh",0,0,0,0,0
"20","ɪ","a",0,0,0,0,0
"21","ɪ","a_e",0,0,5,0,0
"22","ɪ","e",3,0,21,23,0
"23","ɪ","e_e",0,0,1,0,0
"24","ɪ","ea",1,0,11,2,0
"25","ɪ","ee",0,0,5,0,0
"26","ɪ","ei",0,0,0,0,0
"27","ɪ","eo",0,0,0,0,0
"28","ɪ","hi",0,0,0,6,0
"29","ɪ","i",17,15,255,89,0
"30","ɪ","i_e",0,1,9,0,0
"31","ɪ","ia",0,0,0,0,0
"32","ɪ","ia_e",0,0,0,0,0
"33","ɪ","ie",0,0,0,0,0
"34","ɪ","ie_e",0,0,0,0,0
"35","ɪ","o",0,0,0,1,0
"36","ɪ","u",0,0,0,1,0
"37","ɪ","ui",0,0,3,1,0
"38","ɪ","y",0,0,0,2,0
"39","ɔɪ","awy",0,0,0,0,0
"40","ɔɪ","eu",0,0,0,0,0
"41","ɔɪ","oi",0,0,2,3,0
"42","ɔɪ","oi_e",0,0,2,0,0
"43","ɔɪ","oy",0,0,0,0,4
"44","ɔɪ","oy_e",0,0,0,0,0
"45","ɔɪ","oye",0,0,0,0,0
"46","ɚ","_e",0,0,0,0,0
"47","ɚ","a",0,1,7,0,0
"48","ɚ","a_e",0,0,0,0,0
"49","ɚ","au",0,0,1,0,0
"50","ɚ","e",0,9,153,0,0
"51","ɚ","e_e",0,0,1,0,0
"52","ɚ","ea",3,0,4,0,0
"53","ɚ","ea_e",0,0,0,0,0
"54","ɚ","eu",0,0,0,0,0
"55","ɚ","he",0,0,0,0,0
"56","ɚ","i",0,0,25,0,0
"57","ɚ","i_e",0,0,0,0,0
"58","ɚ","o",0,0,29,0,0
"59","ɚ","o_e",0,0,2,0,0
"60","ɚ","oa",0,0,0,0,0
"61","ɚ","ou",0,0,0,0,0
"62","ɚ","ou_e",0,0,0,0,0
"63","ɚ","r",0,0,0,0,0
"64","ɚ","u",0,5,22,0,0
"65","ɚ","u_e",0,0,6,0,0
"66","ɚ","y",0,0,1,0,0
"67","aɪ","a",0,0,0,0,0
"68","aɪ","ae",0,0,0,0,0
"69","aɪ","ai",0,0,0,0,0
"70","aɪ","ai_e",0,0,0,0,0
"71","aɪ","ay",0,0,0,0,0
"72","aɪ","aye",0,0,0,0,0
"73","aɪ","ei",0,0,0,0,0
"74","aɪ","eigh",0,0,0,0,0
"75","aɪ","ey",0,0,0,0,0
"76","aɪ","eye",7,0,0,0,0
"77","aɪ","i",3,0,19,32,0
"78","aɪ","i_e",1,0,63,0,0
"79","aɪ","ia",0,0,0,1,0
"80","aɪ","ie",0,0,3,0,5
"81","aɪ","igh",0,0,17,0,1
"82","aɪ","igh_e",0,0,0,0,0
"83","aɪ","oy",0,0,0,0,0
"84","aɪ","uy",0,0,0,0,2
"85","aɪ","y",0,0,0,5,12
"86","aɪ","y_e",0,0,1,0,0
"87","aɪ","ye",0,0,0,0,1
"88","eɪ","a",4,3,6,33,0
"89","eɪ","a_e",3,1,65,0,0
"90","eɪ","ae",0,0,0,0,1
"91","eɪ","ai",0,0,26,5,0
"92","eɪ","ai_e",0,0,0,0,0
"93","eɪ","aigh",0,0,1,0,0
"94","eɪ","au_e",0,0,0,0,0
"95","eɪ","ay",0,0,2,9,25
"96","eɪ","ay_e",0,0,0,0,0
"97","eɪ","aye",0,0,0,0,0
"98","eɪ","e",0,0,0,0,0
"99","eɪ","e_e",0,0,0,0,0
"100","eɪ","ea",0,0,2,0,1
"101","eɪ","ee",0,0,0,0,0
"102","eɪ","ei",0,0,1,0,0
"103","eɪ","ei_e",0,0,0,0,0
"104","eɪ","eigh",1,0,0,1,0
"105","eɪ","et",0,0,0,0,0
"106","eɪ","ey",0,0,0,0,3
"107","eɪ","ez",0,0,0,0,0
"108","ɑ","a",5,1,67,15,3
"109","ɑ","a_e",1,0,3,0,0
"110","ɑ","aa",0,0,0,0,0
"111","ɑ","aah",0,0,0,0,0
"112","ɑ","ach",0,0,0,0,0
"113","ɑ","ah",0,0,0,0,0
"114","ɑ","au",1,0,0,1,0
"115","ɑ","au_e",0,0,1,0,0
"116","ɑ","aw",0,0,0,2,1
"117","ɑ","e",0,0,0,0,0
"118","ɑ","ea",0,0,2,0,0
"119","ɑ","ho",1,0,0,0,0
"120","ɑ","i",0,0,0,0,0
"121","ɑ","i_e",0,0,0,0,0
"122","ɑ","o",3,0,61,41,0
"123","ɑ","o_e",0,0,1,0,0
"124","ɑ","oh",0,0,0,0,0
"125","ɑ","ou",3,0,0,0,0
"126","ɑ","ow",0,0,0,0,0
"127","b","b",198,61,0,0,13
"128","b","bb",0,8,0,0,0
"129","b","br",0,0,0,0,0
"130","b","pb",0,1,0,0,0
"131","ɔ","a",4,0,24,2,0
"132","ɔ","a_e",0,0,0,0,0
"133","ɔ","ao",0,0,0,0,0
"134","ɔ","au",3,0,1,1,0
"135","ɔ","au_e",0,0,3,0,0
"136","ɔ","augh",0,0,2,3,0
"137","ɔ","aw",0,0,6,2,6
"138","ɔ","awe",0,0,2,0,0
"139","ɔ","eo",0,0,0,0,0
"140","ɔ","eo_e",0,0,0,0,0
"141","ɔ","hau",0,0,0,0,0
"142","ɔ","o",4,0,44,9,0
"143","ɔ","o_e",0,0,16,0,0
"144","ɔ","oa",0,0,3,0,0
"145","ɔ","oa_e",0,0,0,0,0
"146","ɔ","oo",0,0,9,0,0
"147","ɔ","oo_e",0,0,0,0,0
"148","ɔ","ou",0,0,8,0,0
"149","ɔ","ou_e",0,0,0,0,0
"150","ɔ","ough",0,0,5,0,0
"151","tʃ","c",2,0,0,0,0
"152","tʃ","cc",0,0,0,0,0
"153","tʃ","ch",26,4,1,1,21
"154","tʃ","ci",0,0,0,0,0
"155","tʃ","t",0,4,0,0,0
"156","tʃ","tch",0,3,0,0,6
"157","tʃ","ti",0,1,0,0,0
"158","d","d",94,69,12,21,129
"159","d","dd",0,11,0,1,1
"160","d","ddh",0,0,0,0,0
"161","d","ed",0,0,0,0,6
"162","d","ld",0,0,0,0,2
"163","ð","th",13,15,1,0,3
"164","ə","_e",0,0,58,0,0
"165","ə","a",17,3,21,18,17
"166","ə","a_e",0,0,5,0,0
"167","ə","ae",0,0,0,0,0
"168","ə","ah",0,0,0,0,0
"169","ə","ai",0,0,3,0,0
"170","ə","au",0,0,0,0,0
"171","ə","au_e",0,0,1,0,0
"172","ə","e",0,4,68,8,1
"173","ə","e_e",0,0,0,0,0
"174","ə","ea",0,0,1,0,0
"175","ə","ea_e",0,0,0,0,0
"176","ə","ei",0,0,0,0,0
"177","ə","eo",0,0,0,0,0
"178","ə","eou",0,0,0,0,0
"179","ə","ha",0,0,0,0,0
"180","ə","he",0,0,0,0,0
"181","ə","hi",0,0,0,0,0
"182","ə","ho",0,0,0,0,0
"183","ə","i",0,0,7,10,0
"184","ə","i_e",0,0,1,0,0
"185","ə","ia",0,0,0,0,0
"186","ə","ia_e",0,0,0,0,0
"187","ə","ie",0,0,0,0,0
"188","ə","o",0,2,21,23,0
"189","ə","o_e",0,0,1,0,0
"190","ə","oi",0,0,0,0,0
"191","ə","oi_e",0,0,0,0,0
"192","ə","on",0,0,0,0,0
"193","ə","ou",0,1,2,0,0
"194","ə","u",1,1,17,0,0
"195","ə","u_e",0,0,3,0,0
"196","ə","ua",0,0,0,0,0
"197","ə","ui",0,0,1,0,0
"198","ə","y",0,0,0,0,0
"199","ɛ","a",4,0,1,9,0
"200","ɛ","a_e",0,0,10,0,0
"201","ɛ","aa",0,0,0,0,0
"202","ɛ","ae",0,0,0,0,0
"203","ɛ","ah",0,0,0,0,0
"204","ɛ","ai",2,0,12,3,0
"205","ɛ","ai_e",0,0,0,0,0
"206","ɛ","ay",0,0,0,0,0
"207","ɛ","aye",0,0,1,0,0
"208","ɛ","e",18,0,112,54,0
"209","ɛ","e_e",6,0,7,0,0
"210","ɛ","ea",0,0,18,9,0
"211","ɛ","ea_e",0,0,0,0,0
"212","ɛ","eh",0,0,0,0,0
"213","ɛ","ei",0,0,2,0,0
"214","ɛ","eo",0,0,0,0,0
"215","ɛ","hei",0,0,0,0,0
"216","ɛ","ie",0,0,2,0,0
"217","ɛ","u",0,0,0,2,0
"218","f","f",125,33,6,5,18
"219","f","ff",0,7,1,1,4
"220","f","ft",0,0,0,0,0
"221","f","gh",0,1,0,1,2
"222","f","lf",0,0,0,0,1
"223","f","ph",2,2,0,0,0
"224","f","pph",0,0,0,0,0
"225","g","g",76,49,1,0,26
"226","g","gg",0,10,0,0,1
"227","g","gh",1,1,0,0,0
"228","g","gu",1,1,0,0,0
"229","dʒ","d",0,0,0,0,0
"230","dʒ","dg",0,0,0,0,3
"231","dʒ","di",0,0,0,0,0
"232","dʒ","dj",0,0,0,0,0
"233","dʒ","g",4,12,0,1,14
"234","dʒ","gg",0,0,0,0,0
"235","dʒ","gi",0,0,0,0,0
"236","dʒ","j",16,3,0,0,0
"237","gz","x",0,0,0,0,0
"238","h","h",111,14,0,0,0
"239","h","j",0,0,0,0,0
"240","h","wh",1,0,0,0,0
"241","i","a",0,0,0,0,0
"242","i","ae",0,0,0,0,0
"243","i","ay",0,0,0,0,0
"244","i","e",3,0,0,17,7
"245","i","e_e",1,0,1,0,0
"246","i","ea",8,0,37,21,3
"247","i","ea_e",0,0,4,0,0
"248","i","ee",0,0,35,13,10
"249","i","ee_e",0,0,7,0,0
"250","i","ei",0,0,0,1,0
"251","i","ei_e",0,0,0,0,0
"252","i","eo",0,0,0,1,0
"253","i","ey",0,0,1,0,6
"254","i","i",0,1,1,6,3
"255","i","i_e",0,0,2,0,0
"256","i","ie",0,1,8,0,8
"257","i","ie_e",0,0,1,0,0
"258","i","is",0,0,0,0,0
"259","i","oe",0,0,0,0,0
"260","i","y",0,4,0,11,137
"261","j","i",0,0,1,0,0
"262","j","ill",0,0,0,0,0
"263","j","j",0,0,0,0,0
"264","j","ll",0,0,0,0,0
"265","j","y",19,2,3,0,0
"266","jɚ","u",0,0,0,0,0
"267","jɚ","u_e",0,0,0,0,0
"268","jə","u",0,0,0,1,0
"269","jə","ua",0,0,0,0,0
"270","ju","eau",0,0,0,2,0
"271","ju","eu",0,0,0,0,0
"272","ju","eue",0,0,0,0,0
"273","ju","ew",0,0,0,0,1
"274","ju","ewe",0,0,0,0,0
"275","ju","hu",1,0,0,0,0
"276","ju","ou",0,0,0,0,0
"277","ju","u",3,0,0,4,0
"278","ju","u_e",2,0,3,0,0
"279","ju","ua",0,0,0,0,0
"280","ju","ue",0,0,0,0,2
"281","ju","ugh",0,0,0,0,0
"282","ju","ui",0,0,0,0,0
"283","ju","ut",0,0,0,0,0
"284","ju","uu",0,0,0,0,0
"285","jʊ","eu",0,0,0,0,0
"286","jʊ","u",0,0,0,0,0
"287","jʊ","u_e",0,0,0,0,0
"288","k","c",120,39,16,10,4
"289","k","cc",0,5,0,0,0
"290","k","cch",0,0,0,0,0
"291","k","ch",0,0,3,0,1
"292","k","ck",0,24,1,2,31
"293","k","cq",0,0,0,0,0
"294","k","k",19,36,17,5,67
"295","k","kh",0,0,0,0,0
"296","k","kk",0,0,0,0,0
"297","k","lk",0,1,0,0,4
"298","k","q",7,0,6,0,0
"299","k","qu",0,0,0,0,0
"300","k","x",0,0,0,0,0
"301","ks","x",0,0,3,2,7
"302","kʃ","x",0,0,0,0,0
"303","kʃ","xi",0,0,0,0,0
"304","l","l",94,55,161,21,111
"305","l","ll",0,32,3,2,43
"306","l","sl",0,0,0,0,0
"307","m","gm",0,0,0,0,0
"308","m","lm",0,0,0,0,0
"309","m","m",98,51,23,22,54
"310","m","mb",0,0,0,0,6
"311","m","mm",0,9,0,0,0
"312","m","mn",0,0,0,0,0
"313","m","thm",0,0,0,0,0
"314","n","dn",0,0,0,0,0
"315","n","gn",0,0,0,0,1
"316","n","kn",9,1,0,0,0
"317","n","ln",0,0,0,0,0
"318","n","mn",0,0,0,0,0
"319","n","n",49,60,125,79,194
"320","n","nn",0,16,0,0,0
"321","n","pn",0,0,0,0,0
"322","ŋ","n",0,0,17,27,0
"323","ŋ","nd",0,0,0,0,0
"324","ŋ","ng",0,0,6,4,126
"325","ŋ","ngu",0,0,0,0,1
"326","nj","gn",0,1,0,0,0
"327","nj","n",0,0,0,0,0
"328","oʊ","aoh",0,0,0,0,0
"329","oʊ","au",0,0,0,0,0
"330","oʊ","au_e",0,0,0,0,0
"331","oʊ","aux",0,0,0,0,0
"332","oʊ","eau",0,0,0,0,0
"333","oʊ","eaux",0,0,0,0,0
"334","oʊ","eou",0,0,0,0,0
"335","oʊ","ew",0,0,0,0,0
"336","oʊ","o",6,0,15,23,14
"337","oʊ","o_e",0,0,35,0,0
"338","oʊ","oa",1,0,11,1,0
"339","oʊ","oa_e",0,0,0,0,0
"340","oʊ","oe",0,0,0,1,2
"341","oʊ","oh",0,0,0,0,0
"342","oʊ","oo",0,0,0,0,0
"343","oʊ","os",0,0,0,0,0
"344","oʊ","ot",0,0,0,0,0
"345","oʊ","ou",0,0,1,0,0
"346","oʊ","ou_e",0,0,0,0,0
"347","oʊ","ough",0,0,0,1,0
"348","oʊ","ow",1,0,7,11,22
"349","oʊ","owe",0,0,0,0,0
"350","aʊ","ao",0,0,0,0,0
"351","aʊ","au",0,0,0,0,0
"352","aʊ","ho",1,0,0,0,0
"353","aʊ","hou",1,0,0,0,0
"354","aʊ","o",3,0,0,1,0
"355","aʊ","ou",5,0,18,2,0
"356","aʊ","ou_e",0,0,8,0,0
"357","aʊ","ough",0,0,0,0,0
"358","aʊ","ow",1,0,7,4,6
"359","aʊ","ow_e",0,0,0,0,0
"360","aʊ","owe",0,0,0,0,0
"361","p","bp",0,0,0,0,0
"362","p","gh",0,0,0,0,1
"363","p","p",143,38,48,15,71
"364","p","pp",0,22,1,0,0
"365","ɹ","lo",0,0,0,0,0
"366","ɹ","o",0,0,0,0,0
"367","ɹ","or",0,0,0,0,0
"368","ɹ","r",76,44,327,119,213
"369","ɹ","ra",0,0,0,0,0
"370","ɹ","rh",2,0,0,0,0
"371","ɹ","ro",0,0,0,0,0
"372","ɹ","rps",0,0,0,0,0
"373","ɹ","rr",0,16,0,3,1
"374","ɹ","rrh",0,0,0,0,0
"375","ɹ","rt",0,0,0,0,0
"376","ɹ","wr",7,1,1,0,0
"377","s","c",8,19,0,3,22
"378","s","es",0,0,0,0,4
"379","s","ps",0,0,0,0,0
"380","s","s",285,66,40,8,54
"381","s","sc",1,0,0,0,0
"382","s","ss",0,9,0,2,27
"383","s","st",0,4,0,1,0
"384","s","sw",1,1,0,0,0
"385","s","ts",0,0,0,0,0
"386","s","tz",0,0,0,0,0
"387","s","z",0,1,0,0,0
"388","ʃ","c",0,1,0,2,0
"389","ʃ","ch",0,0,0,0,2
"390","ʃ","chs",0,0,0,0,0
"391","ʃ","ci",0,2,0,0,0
"392","ʃ","s",2,0,0,0,0
"393","ʃ","sc",0,0,0,0,0
"394","ʃ","sch",0,0,0,0,0
"395","ʃ","sci",0,0,0,0,0
"396","ʃ","sh",37,10,0,4,24
"397","ʃ","shh",0,0,0,0,0
"398","ʃ","shi",0,0,0,0,0
"399","ʃ","si",0,0,0,0,0
"400","ʃ","ss",0,1,0,0,0
"401","ʃ","ssi",0,0,0,0,0
"402","ʃ","t",0,0,0,0,0
"403","ʃ","ti",0,2,0,0,0
"404","ʃ","xi",0,0,0,0,0
"405","t","bt",0,0,0,0,0
