"","phoneme","grapheme","wi","si","sm","sf","wf"
"1","æ","a",115,13,522,278,0
"2","æ","a_e",2,1,27,0,0
"3","æ","aha",0,0,0,0,0
"4","æ","ai",0,0,1,0,0
"5","æ","au",2,0,2,1,0
"6","æ","ea",0,0,0,1,0
"7","æ","eah",0,0,0,0,0
"8","æ","i_e",0,0,0,0,0
"9","ʌ","_e",0,0,7,0,0
"10","ʌ","a",0,0,2,1,0
"11","ʌ","au_e",0,0,1,0,0
"12","ʌ","o",6,0,26,40,0
"13","ʌ","o_e",0,0,23,0,0
"14","ʌ","oe",0,0,1,0,0
"15","ʌ","oo",0,0,2,1,0
"16","ʌ","ou",0,0,9,8,0
"17","ʌ","u",73,1,333,125,0
"18","ʌ","u_e",0,0,12,0,0
"19","ʌ","uh",0,0,0,0,0
"20","ɪ","a",0,1,1,1,0
"21","ɪ","a_e",0,10,30,0,0
"22","ɪ","e",74,0,68,189,0
"23","ɪ","e_e",0,0,10,0,0
"24","ɪ","ea",2,0,24,4,0
"25","ɪ","ee",0,0,16,1,0
"26","ɪ","ei",0,0,3,0,0
"27","ɪ","eo",0,0,0,1,0
"28","ɪ","hi",0,1,0,11,0
"29","ɪ","i",124,36,745,425,0
"30","ɪ","i_e",0,2,72,0,0
"31","ɪ","ia",0,0,0,0,0
"32","ɪ","ia_e",0,0,3,0,0
"33","ɪ","ie",0,0,4,0,0
"34","ɪ","ie_e",0,0,3,0,0
"35","ɪ","o",0,0,0,1,0
"36","ɪ","u",0,0,3,1,0
"37","ɪ","ui",0,0,6,2,0
"38","ɪ","y",0,0,12,15,0
"39","ɔɪ","awy",0,0,0,0,0
"40","ɔɪ","eu",0,0,0,0,0
"41","ɔɪ","oi",3,0,26,5,0
"42","ɔɪ","oi_e",0,0,5,0,0
"43","ɔɪ","oy",1,0,0,10,12
"44","ɔɪ","oy_e",0,0,1,0,0
"45","ɔɪ","oye",0,0,0,0,0
"46","ɚ","_e",0,0,2,0,0
"47","ɚ","a",0,4,63,0,0
"48","ɚ","a_e",0,0,0,0,0
"49","ɚ","au",0,0,1,0,0
"50","ɚ","e",0,39,658,0,0
"51","ɚ","e_e",0,0,14,0,0
"52","ɚ","ea",8,0,11,0,0
"53","ɚ","ea_e",0,0,2,0,0
"54","ɚ","eu",0,0,4,0,0
"55","ɚ","he",1,0,1,0,0
"56","ɚ","i",0,0,58,0,0
"57","ɚ","i_e",0,0,0,0,0
"58","ɚ","o",2,4,124,0,0
"59","ɚ","o_e",0,0,2,0,0
"60","ɚ","oa",0,0,1,0,0
"61","ɚ","ou",0,0,15,0,0
"62","ɚ","ou_e",0,0,0,0,0
"63","ɚ","r",0,0,0,0,0
"64","ɚ","u",5,8,86,0,0
"65","ɚ","u_e",1,0,49,0,0
"66","ɚ","y",0,0,3,0,0
"67","aɪ","a",0,0,0,0,0
"68","aɪ","ae",0,0,0,0,0
"69","aɪ","ai",0,0,0,0,0
"70","aɪ","ai_e",1,0,0,0,0
"71","aɪ","ay",0,0,0,1,0
"72","aɪ","aye",0,0,0,0,0
"73","aɪ","ei",1,0,0,2,0
"74","aɪ","eigh",0,0,1,0,0
"75","aɪ","ey",0,0,0,1,0
"76","aɪ","eye",12,0,0,0,0
"77","aɪ","i",14,0,41,128,0
"78","aɪ","i_e",4,1,218,0,0
"79","aɪ","ia",0,0,2,3,0
"80","aɪ","ie",0,0,7,0,6
"81","aɪ","igh",0,0,36,9,3
"82","aɪ","igh_e",0,0,0,0,0
"83","aɪ","oy",0,0,0,2,0
"84","aɪ","uy",0,0,0,1,2
"85","aɪ","y",0,0,0,20,31
"86","aɪ","y_e",0,0,4,0,0
"87","aɪ","ye",0,0,0,0,3
"88","eɪ","a",15,11,11,171,0
"89","eɪ","a_e",6,16,243,0,0
"90","eɪ","ae",0,0,0,0,1
"91","eɪ","ai",3,0,81,17,0
"92","eɪ","ai_e",1,0,4,0,0
"93","eɪ","aigh",0,0,1,1,0
"94","eɪ","au_e",0,0,1,0,0
"95","eɪ","ay",0,0,2,18,56
"96","eɪ","ay_e",0,0,0,0,0
"97","eɪ","aye",0,0,0,0,0
"98","eɪ","e",0,0,0,2,1
"99","eɪ","e_e",0,0,1,0,0
"100","eɪ","ea",0,0,3,0,1
"101","eɪ","ee",0,0,0,0,0
"102","eɪ","ei",0,0,5,0,0
"103","eɪ","ei_e",0,0,1,0,0
"104","eɪ","eigh",3,0,3,2,3
"105","eɪ","et",0,0,0,0,6
"106","eɪ","ey",0,0,0,1,6
"107","eɪ","ez",0,0,0,0,0
"108","ɑ","a",24,3,199,35,4
"109","ɑ","a_e",1,0,15,0,0
"110","ɑ","aa",1,0,0,0,0
"111","ɑ","aah",0,0,0,0,0
"112","ɑ","ach",0,0,1,0,0
"113","ɑ","ah",0,0,0,0,0
"114","ɑ","au",5,0,3,4,0
"115","ɑ","au_e",0,0,1,0,0
"116","ɑ","aw",0,0,0,2,2
"117","ɑ","e",0,0,1,0,0
"118","ɑ","ea",0,0,5,0,0
"119","ɑ","ho",4,0,0,2,0
"120","ɑ","i",0,0,0,0,0
"121","ɑ","i_e",0,0,0,0,0
"122","ɑ","o",22,4,217,177,0
"123","ɑ","o_e",1,0,10,0,0
"124","ɑ","oh",0,0,0,0,0
"125","ɑ","ou",3,0,0,0,0
"126","ɑ","ow",0,0,0,2,0
"127","b","b",513,274,1,22,68
"128","b","bb",0,27,0,0,0
"129","b","br",0,0,0,0,0
"130","b","pb",0,2,0,0,0
"131","ɔ","a",6,0,62,7,0
"132","ɔ","a_e",0,0,0,0,0
"133","ɔ","ao",0,0,1,0,0
"134","ɔ","au",12,0,13,4,0
"135","ɔ","au_e",0,0,9,0,0
"136","ɔ","augh",0,0,2,4,0
"137","ɔ","aw",2,0,15,6,19
"138","ɔ","awe",1,0,2,0,0
"139","ɔ","eo",0,0,0,0,0
"140","ɔ","eo_e",0,0,0,0,0
"141","ɔ","hau",0,2,0,0,0
"142","ɔ","o",26,1,177,36,0
"143","ɔ","o_e",2,0,41,0,0
"144","ɔ","oa",1,0,11,0,0
"145","ɔ","oa_e",0,0,2,0,0
"146","ɔ","oo",0,0,12,1,0
"147","ɔ","oo_e",0,0,0,0,0
"148","ɔ","ou",0,0,14,0,0
"149","ɔ","ou_e",0,0,2,0,0
"150","ɔ","ough",1,0,6,0,0
"151","tʃ","c",6,1,0,0,0
"152","tʃ","cc",0,0,0,0,0
"153","tʃ","ch",88,25,2,5,72
"154","tʃ","ci",0,0,0,0,0
"155","tʃ","t",0,47,0,0,0
"156","tʃ","tch",0,9,0,2,31
"157","tʃ","ti",0,4,0,0,0
"158","d","d",387,332,21,83,445
"159","d","dd",0,31,1,1,2
"160","d","ddh",0,0,0,0,0
"161","d","ed",0,0,0,0,18
"162","d","ld",0,0,0,0,3
"163","ð","th",17,39,4,2,7
"164","ə","_e",0,2,201,0,0
"165","ə","a",157,53,174,170,75
"166","ə","a_e",0,7,29,0,0
"167","ə","ae",0,0,0,0,0
"168","ə","ah",0,0,0,0,1
"169","ə","ai",0,0,9,0,0
"170","ə","au",1,0,0,0,0
"171","ə","au_e",0,0,1,0,0
"172","ə","e",6,25,333,97,1
"173","ə","e_e",0,9,22,0,0
"174","ə","ea",0,0,3,0,0
"175","ə","ea_e",0,0,1,0,0
"176","ə","ei",0,0,1,0,0
"177","ə","eo",0,0,4,0,0
"178","ə","eou",0,0,2,0,0
"179","ə","ha",0,0,0,0,0
"180","ə","he",0,0,0,0,0
"181","ə","hi",0,0,0,0,0
"182","ə","ho",0,0,0,1,0
"183","ə","i",0,4,42,140,0
"184","ə","i_e",0,0,17,0,0
"185","ə","ia",0,0,0,2,1
"186","ə","ia_e",0,0,0,0,0
"187","ə","ie",0,0,6,0,0
"188","ə","o",13,20,258,158,0
"189","ə","o_e",0,0,6,0,0
"190","ə","oi",0,0,0,1,0
"191","ə","oi_e",0,0,1,0,0
"192","ə","on",0,0,0,1,0
"193","ə","ou",0,15,16,4,0
"194","ə","u",1,15,91,25,0
"195","ə","u_e",0,0,4,0,0
"196","ə","ua",0,0,0,2,0
"197","ə","ui",0,0,2,0,0
"198","ə","y",0,0,1,3,0
"199","ɛ","a",9,1,1,61,0
"200","ɛ","a_e",0,0,33,0,0
"201","ɛ","aa",0,0,0,0,0
"202","ɛ","ae",1,0,0,0,0
"203","ɛ","ah",0,0,0,0,0
"204","ɛ","ai",6,0,23,5,0
"205","ɛ","ai_e",0,0,1,0,0
"206","ɛ","ay",0,0,0,0,0
"207","ɛ","aye",0,0,1,0,0
"208","ɛ","e",95,8,430,259,0
"209","ɛ","e_e",9,1,43,0,0
"210","ɛ","ea",0,0,49,29,0
"211","ɛ","ea_e",0,0,1,0,0
"212","ɛ","eh",0,0,0,0,0
"213","ɛ","ei",0,0,2,2,0
"214","ɛ","eo",0,0,0,2,0
"215","ɛ","hei",1,0,0,0,0
"216","ɛ","ie",0,0,5,0,0
"217","ɛ","u",0,0,0,3,0
"218","f","f",380,159,27,15,47
"219","f","ff",0,50,1,2,23
"220","f","ft",0,1,0,0,0
"221","f","gh",0,1,0,1,6
"222","f","lf",0,0,0,0,2
"223","f","ph",14,21,4,0,6
"224","f","pph",0,1,0,0,0
"225","g","g",248,166,1,18,65
"226","g","gg",0,33,0,3,1
"227","g","gh",4,1,0,0,0
"228","g","gu",5,2,0,0,4
"229","dʒ","d",0,14,0,0,0
"230","dʒ","dg",0,3,0,1,23
"231","dʒ","di",0,1,0,0,0
"232","dʒ","dj",0,2,0,0,0
"233","dʒ","g",23,79,1,3,79
"234","dʒ","gg",0,2,0,0,0
"235","dʒ","gi",0,2,0,0,0
"236","dʒ","j",84,18,0,0,0
"237","gz","x",0,0,0,10,0
"238","h","h",278,53,0,0,0
"239","h","j",0,0,0,0,0
"240","h","wh",4,0,0,0,0
"241","i","a",0,0,0,0,0
"242","i","ae",0,0,0,0,0
"243","i","ay",0,0,0,0,0
"244","i","e",20,2,0,108,17
"245","i","e_e",2,0,14,0,0
"246","i","ea",11,0,97,63,7
"247","i","ea_e",1,0,15,0,0
