PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ay,0,0,0,0,0,0,0,0,0,0,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,0,0,0,0,0,0,0,0,0,0,0
aɪ-eigh,0,0,0,0,0,0,0,0,0,0,0
aɪ-ey,0,0,0,0,0,0,0,0,0,0,0
aɪ-eye,5,0,0,0,0,0.16666666666666669,0.8333333333333334,0,0,0,0
aɪ-i,0,0,6,18,0,0.1915433403805497,0,0,0.13953488372093023,0.8181818181818182,0
aɪ-i_e,1,0,28,0,0,0.1635658914728682,0.16666666666666666,0,0.6511627906976745,0,0
aɪ-ia,0,0,0,1,0,0.00909090909090909,0,0,0,0.045454545454545456,0
aɪ-ie,0,0,3,0,3,0.05395348837209303,0,0,0.06976744186046512,0,0.2
aɪ-igh,0,0,6,0,1,0.04124031007751938,0,0,0.13953488372093023,0,0.06666666666666667
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,0,0,0,0,0,0,0,0
aɪ-uy,0,0,0,0,1,0.013333333333333332,0,0,0,0,0.06666666666666667
aɪ-y,0,0,0,3,9,0.14727272727272728,0,0,0,0.13636363636363635,0.6
aɪ-y_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ye,0,0,0,0,1,0.013333333333333332,0,0,0,0,0.06666666666666667
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,0,0,0,0,0,0,0,0,0
aʊ-ho,0,0,0,0,0,0,0,0,0,0,0
aʊ-hou,0,0,0,0,0,0,0,0,0,0,0
aʊ-o,2,0,0,0,0,0.05714285714285714,0.2857142857142857,0,0,0,0
aʊ-ou,5,0,11,0,0,0.27226890756302524,0.7142857142857143,0,0.6470588235294118,0,0
aʊ-ou_e,0,0,3,0,0,0.03529411764705882,0,0,0.17647058823529413,0,0
aʊ-ough,0,0,0,0,0,0,0,0,0,0,0
aʊ-ow,0,0,3,3,3,0.4352941176470589,0,0,0.17647058823529413,1,1
aʊ-ow_e,0,0,0,0,0,0,0,0,0,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,112,28,0,0,4,0.5806451612903226,1,0.9032258064516129,0,0,1
b-bb,0,3,0,0,0,0.01935483870967742,0,0.0967741935483871,0,0,0
b-br,0,0,0,0,0,0,0,0,0,0,0
b-pb,0,0,0,0,0,0,0,0,0,0,0
d-d,44,33,7,9,68,0.9555321390937829,1,0.8461538461538461,1,1,0.9315068493150684
