PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ay,0,0,0,0,0,0,0,0,0,0,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,0,0,0,0,0,0,0,0,0,0,0
aɪ-eigh,0,0,0,0,0,0,0,0,0,0,0
aɪ-ey,0,0,0,0,0,0,0,0,0,0,0
aɪ-eye,2,0,0,0,0,0.2,1,0,0,0,0
aɪ-i,0,0,0,3,0,0.15,0,0,0,0.75,0
aɪ-i_e,0,0,8,0,0,0.14545454545454545,0,0,0.7272727272727273,0,0
aɪ-ia,0,0,0,1,0,0.05,0,0,0,0.25,0
aɪ-ie,0,0,1,0,0,0.01818181818181818,0,0,0.09090909090909091,0,0
aɪ-igh,0,0,2,0,0,0.03636363636363636,0,0,0.18181818181818182,0,0
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,0,0,0,0,0,0,0,0
aɪ-uy,0,0,0,0,0,0,0,0,0,0,0
aɪ-y,0,0,0,0,6,0.17142857142857143,0,0,0,0,0.8571428571428571
aɪ-y_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ye,0,0,0,0,1,0.02857142857142857,0,0,0,0,0.14285714285714285
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,0,0,0,0,0,0,0,0,0
aʊ-ho,0,0,0,0,0,0,0,0,0,0,0
aʊ-hou,0,0,0,0,0,0,0,0,0,0,0
aʊ-o,0,0,0,0,0,0,0,0,0,0,0
aʊ-ou,2,0,3,0,0,0.275,1,0,0.375,0,0
aʊ-ou_e,0,0,2,0,0,0.05,0,0,0.25,0,0
aʊ-ough,0,0,0,0,0,0,0,0,0,0,0
aʊ-ow,0,0,3,2,3,0.475,0,0,0.375,1,1
aʊ-ow_e,0,0,0,0,0,0,0,0,0,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,42,3,0,0,2,0.55,1,0.75,0,0,1
b-bb,0,1,0,0,0,0.05,0,0.25,0,0,0
b-br,0,0,0,0,0,0,0,0,0,0,0
b-pb,0,0,0,0,0,0,0,0,0,0,0
d-d,15,9,1,4,18,0.96,1,0.9,1,1,0.9
d-dd,0,1,0,0,0,0.02,0,0.1,0,0,0
d-ddh,0,0,0,0,0,0,0,0,0,0,0
d-ed,0,0,0,0,1,0.01,0,0,0,0,0.05
d-ld,0,0,0,0,1,0.01,0,0,0,0,0.05
dʒ-d,0,0,0,0,0,0,0,0,0,0,0
dʒ-dg,0,0,0,0,0,0,0,0,0,0,0
