PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,1,0,0.001075268817204301,0,0,0,0.005376344086021506,0
aɪ-ae,0,0,0,1,0,0.001075268817204301,0,0,0,0.005376344086021506,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ay,0,0,0,2,0,0.002150537634408602,0,0,0,0.010752688172043012,0
aɪ-aye,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ei,1,0,2,2,0,0.008673261475568197,0.02702702702702703,0,0.00558659217877095,0.010752688172043012,0
aɪ-eigh,0,0,2,0,0,0.00111731843575419,0,0,0.00558659217877095,0,0
aɪ-ey,0,0,0,1,0,0.001075268817204301,0,0,0,0.005376344086021506,0
aɪ-eye,12,0,1,0,1,0.06919710898840234,0.32432432432432434,0,0.002793296089385475,0,0.018867924528301886
aɪ-i,17,0,45,133,2,0.26758947919585396,0.4594594594594595,0,0.12569832402234637,0.7150537634408602,0.03773584905660377
aɪ-i_e,5,1,253,0,0,0.36836780914993206,0.13513513513513514,1,0.7067039106145251,0,0
aɪ-ia,0,0,2,3,0,0.004343124887367093,0,0,0.00558659217877095,0.016129032258064516,0
aɪ-ie,0,0,7,0,7,0.030325708864762307,0,0,0.019553072625698324,0,0.1320754716981132
aɪ-igh,0,0,38,9,4,0.04600080925680983,0,0,0.10614525139664804,0.04838709677419355,0.07547169811320754
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.002150537634408602,0,0,0,0.010752688172043012,0
aɪ-uy,0,0,0,1,2,0.008622438628525056,0,0,0,0.005376344086021506,0.03773584905660377
aɪ-y,0,0,0,31,33,0.15786163522012578,0,0,0,0.16666666666666666,0.6226415094339622
aɪ-y_e,0,0,8,0,0,0.00446927374301676,0,0,0.0223463687150838,0,0
aɪ-ye,0,0,0,0,4,0.01509433962264151,0,0,0,0,0.07547169811320754
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,1,1,0,0.007575757575757576,0,0,0.007575757575757576,0.030303030303030304,0
aʊ-ho,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-hou,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-o,3,0,0,5,0,0.0553030303030303,0.125,0,0,0.15151515151515152,0
aʊ-ou,17,1,79,5,0,0.4916666666666667,0.7083333333333334,1,0.5984848484848485,0.15151515151515152,0
aʊ-ou_e,1,0,28,0,0,0.05075757575757576,0.041666666666666664,0,0.21212121212121213,0,0
aʊ-ough,0,0,1,0,2,0.023737373737373734,0,0,0.007575757575757576,0,0.1111111111111111
