PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,1,0,0.0010869565217391304,0,0,0,0.005434782608695652,0
aɪ-ae,0,0,0,1,0,0.0010869565217391304,0,0,0,0.005434782608695652,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ay,0,0,0,2,0,0.002173913043478261,0,0,0,0.010869565217391304,0
aɪ-aye,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ei,1,0,1,2,0,0.008142698730573808,0.02702702702702703,0,0.0028169014084507044,0.010869565217391304,0
aɪ-eigh,0,0,2,0,0,0.0011267605633802818,0,0,0.005633802816901409,0,0
aɪ-ey,0,0,0,1,0,0.0010869565217391304,0,0,0,0.005434782608695652,0
aɪ-eye,12,0,1,0,1,0.06920183005221539,0.32432432432432434,0,0.0028169014084507044,0,0.018867924528301886
aɪ-i,17,0,44,132,2,0.26770605496714406,0.4594594594594595,0,0.12394366197183099,0.717391304347826,0.03773584905660377
aɪ-i_e,5,1,252,0,0,0.3689988580129425,0.13513513513513514,1,0.7098591549295775,0,0
aɪ-ia,0,0,2,3,0,0.0043876301285976724,0,0,0.005633802816901409,0.016304347826086956,0
aɪ-ie,0,0,7,0,7,0.030358756311453627,0,0,0.01971830985915493,0,0.1320754716981132
aɪ-igh,0,0,38,9,4,0.04628539902251903,0,0,0.10704225352112676,0.04891304347826087,0.07547169811320754
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.002173913043478261,0,0,0,0.010869565217391304,0
aɪ-uy,0,0,0,1,2,0.008634126333059886,0,0,0,0.005434782608695652,0.03773584905660377
aɪ-y,0,0,0,30,33,0.15713699753896634,0,0,0,0.16304347826086957,0.6226415094339622
aɪ-y_e,0,0,8,0,0,0.004507042253521127,0,0,0.022535211267605635,0,0
aɪ-ye,0,0,0,0,4,0.01509433962264151,0,0,0,0,0.07547169811320754
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,1,1,0,0.0075990675990675995,0,0,0.007692307692307693,0.030303030303030304,0
aʊ-ho,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-hou,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-o,3,0,0,5,0,0.0553030303030303,0.125,0,0,0.15151515151515152,0
