PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.008,0.04,0,0,0,0
aɪ-ay,0,0,0,0,0,0,0,0,0,0,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,1,0,0,2,0,0.011478260869565219,0.04,0,0,0.017391304347826087,0
aɪ-eigh,0,0,1,0,0,8.81057268722467e-4,0,0,0.004405286343612335,0,0
aɪ-ey,0,0,0,0,0,0,0,0,0,0,0
aɪ-eye,12,0,0,0,0,0.096,0.48,0,0,0,0
aɪ-i,9,0,35,85,0,0.2506630913618081,0.36,0,0.15418502202643172,0.7391304347826086,0
aɪ-i_e,2,1,149,0,0,0.3472775330396476,0.08,1,0.6563876651982379,0,0
aɪ-ia,0,0,1,3,0,0.006098448573070293,0,0,0.004405286343612335,0.02608695652173913,0
aɪ-ie,0,0,4,0,6,0.04102422907488987,0,0,0.01762114537444934,0,0.1875
aɪ-igh,0,0,34,9,3,0.06435812104960735,0,0,0.14977973568281938,0.0782608695652174,0.09375
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,0,0,0,0,0,0,0,0
aɪ-uy,0,0,0,1,2,0.01423913043478261,0,0,0,0.008695652173913044,0.0625
aɪ-y,0,0,0,15,19,0.14483695652173914,0,0,0,0.13043478260869565,0.59375
aɪ-y_e,0,0,3,0,0,0.0026431718061674008,0,0,0.013215859030837005,0,0
aɪ-ye,0,0,0,0,2,0.0125,0,0,0,0,0.0625
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,0,0,0,0,0,0,0,0,0
aʊ-ho,1,0,0,0,0,0.011764705882352941,0.058823529411764705,0,0,0,0
aʊ-hou,1,0,0,0,0,0.011764705882352941,0.058823529411764705,0,0,0,0
aʊ-o,3,0,0,2,0,0.05196078431372549,0.17647058823529413,0,0,0.08333333333333333,0
aʊ-ou,11,1,47,4,0,0.4759981100874084,0.6470588235294118,1,0.5662650602409639,0.16666666666666666,0
aʊ-ou_e,0,0,18,0,0,0.043373493975903614,0,0,0.21686746987951808,0,0
aʊ-ough,0,0,0,0,1,0.016666666666666666,0,0,0,0,0.08333333333333333
aʊ-ow,1,0,18,18,11,0.3884715331915899,0.058823529411764705,0,0.21686746987951808,0.75,0.9166666666666666
aʊ-ow_e,0,0,0,0,0,0,0,0,0,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,372,182,1,12,41,0.9758454106280194,1,0.8792270531400966,1,1,1
b-bb,0,23,0,0,0,0.02222222222222222,0,0.1111111111111111,0,0,0
