PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ay,0,0,0,0,0,0,0,0,0,0,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,0,0,0,0,0,0,0,0,0,0,0
aɪ-eigh,0,0,0,0,0,0,0,0,0,0,0
aɪ-ey,0,0,0,0,0,0,0,0,0,0,0
aɪ-eye,7,0,0,0,0,0.12727272727272726,0.6363636363636364,0,0,0,0
aɪ-i,3,0,19,32,0,0.25985971106052863,0.2727272727272727,0,0.18446601941747573,0.8421052631578947,0
aɪ-i_e,1,0,63,0,0,0.14051191526919682,0.09090909090909091,0,0.6116504854368932,0,0
aɪ-ia,0,0,0,1,0,0.005263157894736842,0,0,0,0.02631578947368421,0
aɪ-ie,0,0,3,0,5,0.05344429033749422,0,0,0.02912621359223301,0,0.23809523809523808
aɪ-igh,0,0,17,0,1,0.042533518261673606,0,0,0.1650485436893204,0,0.047619047619047616
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,0,0,0,0,0,0,0,0
aɪ-uy,0,0,0,0,2,0.019047619047619046,0,0,0,0,0.09523809523809523
aɪ-y,0,0,0,5,12,0.14060150375939848,0,0,0,0.13157894736842105,0.5714285714285714
aɪ-y_e,0,0,1,0,0,0.001941747572815534,0,0,0.009708737864077669,0,0
aɪ-ye,0,0,0,0,1,0.009523809523809523,0,0,0,0,0.047619047619047616
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,0,0,0,0,0,0,0,0,0
aʊ-ho,1,0,0,0,0,0.01818181818181818,0.09090909090909091,0,0,0,0
aʊ-hou,1,0,0,0,0,0.01818181818181818,0.09090909090909091,0,0,0,0
aʊ-o,3,0,0,1,0,0.08311688311688312,0.2727272727272727,0,0,0.14285714285714285,0
aʊ-ou,5,0,18,2,0,0.2571428571428571,0.45454545454545453,0,0.5454545454545454,0.2857142857142857,0
aʊ-ou_e,0,0,8,0,0,0.048484848484848485,0,0,0.24242424242424243,0,0
aʊ-ough,0,0,0,0,0,0,0,0,0,0,0
aʊ-ow,1,0,7,4,6,0.3748917748917749,0.09090909090909091,0,0.21212121212121213,0.5714285714285714,1
aʊ-ow_e,0,0,0,0,0,0,0,0,0,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,198,61,0,0,13,0.5742857142857143,1,0.8714285714285714,0,0,1
b-bb,0,8,0,0,0,0.022857142857142857,0,0.11428571428571428,0,0,0
b-br,0,0,0,0,0,0,0,0,0,0,0
