PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,1,0,0.001081081081081081,0,0,0,0.005405405405405406,0
aɪ-ae,0,0,0,1,0,0.001081081081081081,0,0,0,0.005405405405405406,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ay,0,0,0,2,0,0.002162162162162162,0,0,0,0.010810810810810811,0
aɪ-aye,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ei,1,0,1,2,0,0.008129365320376556,0.02702702702702703,0,0.0028089887640449437,0.010810810810810811,0
aɪ-eigh,0,0,2,0,0,0.0011235955056179774,0,0,0.0056179775280898875,0,0
aɪ-ey,0,0,0,1,0,0.001081081081081081,0,0,0,0.005405405405405406,0
aɪ-eye,12,0,1,0,1,0.06920024752333423,0.32432432432432434,0,0.0028089887640449437,0,0.018867924528301886
aɪ-i,17,0,44,132,2,0.2668608655295109,0.4594594594594595,0,0.12359550561797752,0.7135135135135136,0.03773584905660377
aɪ-i_e,5,1,253,0,0,0.36916185848770117,0.13513513513513514,1,0.7106741573033708,0,0
aɪ-ia,0,0,2,3,0,0.004366838748861221,0,0,0.0056179775280898875,0.016216216216216217,0
aɪ-ie,0,0,7,0,7,0.030347678609285562,0,0,0.019662921348314606,0,0.1320754716981132
aɪ-igh,0,0,38,9,4,0.04617238395911281,0,0,0.10674157303370786,0.04864864864864865,0.07547169811320754
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.002162162162162162,0,0,0,0.010810810810810811,0
aɪ-uy,0,0,0,1,2,0.008628250892401835,0,0,0,0.005405405405405406,0.03773584905660377
aɪ-y,0,0,0,31,33,0.15804181540030596,0,0,0,0.16756756756756758,0.6226415094339622
aɪ-y_e,0,0,8,0,0,0.00449438202247191,0,0,0.02247191011235955,0,0
aɪ-ye,0,0,0,0,4,0.01509433962264151,0,0,0,0,0.07547169811320754
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,1,1,0,0.007587323617857969,0,0,0.007633587786259542,0.030303030303030304,0
aʊ-ho,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-hou,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-o,3,0,0,5,0,0.0553030303030303,0.125,0,0,0.15151515151515152,0
aʊ-ou,17,1,79,5,0,0.4925803839925978,0.7083333333333334,1,0.6030534351145038,0.15151515151515152,0
aʊ-ou_e,1,0,27,0,0,0.04955470737913486,0.041666666666666664,0,0.20610687022900764,0,0
aʊ-ough,0,0,1,0,2,0.023748939779474128,0,0,0.007633587786259542,0,0.1111111111111111
aʊ-ow,1,0,22,22,16,0.3530322307039864,0.041666666666666664,0,0.16793893129770993,0.6666666666666666,0.8888888888888888
aʊ-ow_e,0,0,1,0,0,0.0015267175572519084,0,0,0.007633587786259542,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,561,313,1,24,76,0.9779127305443096,1,0.9152046783625731,1,1,0.9743589743589743
b-bb,0,27,0,0,1,0.01835357624831309,0,0.07894736842105263,0,0,0.01282051282051282
b-br,0,0,0,0,1,0.002564102564102564,0,0,0,0,0.01282051282051282
b-pb,0,2,0,0,0,0.0011695906432748538,0,0.005847953216374269,0,0,0
d-d,429,377,22,84,484,0.964306509320606,1,0.9240196078431373,0.9565217391304348,0.9882352941176471,0.952755905511811
d-dd,0,31,1,1,2,0.027032073356559327,0,0.07598039215686274,0.043478260869565216,0.011764705882352941,0.003937007874015748
d-ddh,0,0,0,0,0,0,0,0,0,0,0
d-ed,0,0,0,0,19,0.007480314960629922,0,0,0,0,0.03740157480314961
d-ld,0,0,0,0,3,0.0011811023622047244,0,0,0,0,0.005905511811023622
dʒ-d,0,17,0,0,0,0.02446043165467626,0,0.1223021582733813,0,0,0
dʒ-dg,0,3,0,1,24,0.09679442286878462,0,0.02158273381294964,0,0.25,0.21238938053097345
dʒ-di,0,1,0,0,0,0.0014388489208633094,0,0.007194244604316547,0,0,0
dʒ-dj,0,2,0,0,0,0.0028776978417266188,0,0.014388489208633094,0,0,0
dʒ-g,30,91,2,3,89,0.686076423311414,0.23809523809523808,0.6546762589928058,1,0.75,0.7876106194690266
dʒ-gg,0,2,0,0,0,0.0028776978417266188,0,0.014388489208633094,0,0,0
dʒ-gi,0,4,0,0,0,0.0057553956834532375,0,0.02877697841726619,0,0,0
dʒ-j,96,19,0,0,0,0.17971908187735525,0.7619047619047619,0.1366906474820144,0,0,0
eɪ-a,16,12,12,184,0,0.34487159114522853,0.5517241379310345,0.34285714285714286,0.02977667493796526,0.8,0
eɪ-a_e,6,22,274,0,0,0.30307374494248795,0.20689655172413793,0.6285714285714286,0.6799007444168734,0,0
eɪ-ae,0,0,0,0,1,0.0025,0,0,0,0,0.0125
eɪ-ai,3,1,91,17,0,0.08634783990493233,0.10344827586206896,0.02857142857142857,0.22580645161290322,0.07391304347826087,0
eɪ-ai_e,1,0,8,0,0,0.010866775049199966,0.034482758620689655,0,0.019851116625310174,0,0
eɪ-aigh,0,0,1,1,0,0.0013658431330240586,0,0,0.0024813895781637717,0.004347826086956522,0
eɪ-au_e,0,0,1,0,0,4.962779156327543e-4,0,0,0.0024813895781637717,0,0
eɪ-ay,0,0,2,20,56,0.1583838601790916,0,0,0.004962779156327543,0.08695652173913043,0.7
eɪ-ay_e,0,0,0,0,0,0,0,0,0,0,0
eɪ-aye,0,0,0,0,0,0,0,0,0,0,0
eɪ-e,0,0,0,2,2,0.006739130434782609,0,0,0,0.008695652173913044,0.025
eɪ-e_e,0,0,1,0,0,4.962779156327543e-4,0,0,0.0024813895781637717,0,0
eɪ-ea,0,0,3,0,1,0.0039888337468982635,0,0,0.007444168734491315,0,0.0125
eɪ-ee,0,0,0,0,0,0,0,0,0,0,0
eɪ-ei,0,0,6,2,0,0.004716797928579135,0,0,0.01488833746898263,0.008695652173913044,0
eɪ-ei_e,0,0,1,0,0,4.962779156327543e-4,0,0,0.0024813895781637717,0,0
eɪ-eigh,3,0,3,2,3,0.031417619354094664,0.10344827586206896,0,0.007444168734491315,0.008695652173913044,0.0375
eɪ-et,0,0,0,0,11,0.027500000000000004,0,0,0,0,0.1375
eɪ-ey,0,0,0,1,6,0.015869565217391305,0,0,0,0.004347826086956522,0.075
eɪ-ez,0,0,0,1,0,8.695652173913044e-4,0,0,0,0.004347826086956522,0
f-f,414,163,34,15,54,0.7643183569912452,0.9605568445475638,0.6417322834645669,0.8292682926829268,0.8333333333333334,0.5567010309278351
f-ff,0,58,1,2,26,0.12637780976397311,0,0.2283464566929134,0.024390243902439025,0.1111111111111111,0.26804123711340205
f-ft,0,1,0,0,0,7.874015748031496e-4,0,0.003937007874015748,0,0,0
f-gh,0,1,1,1,7,0.031209551157123715,0,0.003937007874015748,0.024390243902439025,0.05555555555555555,0.07216494845360824
f-lf,0,0,0,0,2,0.004123711340206186,0,0,0,0,0.020618556701030927
f-ph,17,30,5,0,8,0.07239576759784548,0.03944315545243619,0.11811023622047244,0.12195121951219512,0,0.08247422680412371
f-pph,0,1,0,0,0,7.874015748031496e-4,0,0.003937007874015748,0,0,0
g-g,283,186,1,21,71,0.9105323597139741,0.956081081081081,0.8340807174887892,1,0.875,0.8875
g-gg,0,33,0,3,1,0.05709641255605381,0,0.14798206278026907,0,0.125,0.0125
g-gh,5,1,0,0,0,0.004275239364925463,0.016891891891891893,0.004484304932735426,0,0,0
g-gu,8,3,0,0,8,0.028095988365046665,0.02702702702702703,0.013452914798206279,0,0,0.1
gz-x,0,0,0,13,0,0.2,0,0,0,1,0
h-h,302,57,0,0,0,0.396742671009772,0.9837133550488599,1,0,0,0
h-j,0,0,0,0,0,0,0,0,0,0,0
h-wh,5,0,0,0,0,0.003257328990228013,0.016286644951140065,0,0,0,0
i-a,0,0,0,0,0,0,0,0,0,0,0
i-ae,0,0,0,0,1,3.2310177705977385e-4,0,0,0,0,0.0016155088852988692
i-ay,0,0,0,0,1,3.2310177705977385e-4,0,0,0,0,0.0016155088852988692
i-e,23,2,1,126,20,0.21493456301372293,0.575,0.14285714285714285,0.003076923076923077,0.32142857142857145,0.03231017770597738
i-e_e,2,0,14,0,0,0.018615384615384617,0.05,0,0.043076923076923075,0,0
i-ea,11,0,108,66,7,0.157396720288712,0.275,0,0.3323076923076923,0.1683673469387755,0.011308562197092083
