PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,1,0,0.001081081081081081,0,0,0,0.005405405405405406,0
aɪ-ae,0,0,0,1,0,0.001081081081081081,0,0,0,0.005405405405405406,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ay,0,0,0,2,0,0.002162162162162162,0,0,0,0.010810810810810811,0
aɪ-aye,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ei,1,0,2,2,0,0.008688015746839277,0.02702702702702703,0,0.0056022408963585435,0.010810810810810811,0
aɪ-eigh,0,0,2,0,0,0.0011204481792717086,0,0,0.0056022408963585435,0,0
aɪ-ey,0,0,0,1,0,0.001081081081081081,0,0,0,0.005405405405405406,0
aɪ-eye,12,0,1,0,1,0.0691986738601611,0.32432432432432434,0,0.0028011204481792717,0,0.018867924528301886
aɪ-i,17,0,44,132,2,0.26679162434989295,0.4594594594594595,0,0.12324929971988796,0.7135135135135136,0.03773584905660377
aɪ-i_e,5,1,253,0,0,0.3687637217048982,0.13513513513513514,1,0.7086834733893558,0,0
aɪ-ia,0,0,2,3,0,0.004363691422514952,0,0,0.0056022408963585435,0.016216216216216217,0
aɪ-ie,0,0,7,0,7,0.030336662967073623,0,0,0.0196078431372549,0,0.1320754716981132
aɪ-igh,0,0,38,9,4,0.046112584758533706,0,0,0.10644257703081232,0.04864864864864865,0.07547169811320754
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.002162162162162162,0,0,0,0.010810810810810811,0
aɪ-uy,0,0,0,1,2,0.008628250892401835,0,0,0,0.005405405405405406,0.03773584905660377
aɪ-y,0,0,0,31,33,0.15804181540030596,0,0,0,0.16756756756756758,0.6226415094339622
aɪ-y_e,0,0,8,0,0,0.004481792717086834,0,0,0.022408963585434174,0,0
aɪ-ye,0,0,0,0,4,0.01509433962264151,0,0,0,0,0.07547169811320754
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,1,1,0,0.007575757575757576,0,0,0.007575757575757576,0.030303030303030304,0
aʊ-ho,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-hou,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-o,3,0,0,5,0,0.0553030303030303,0.125,0,0,0.15151515151515152,0
aʊ-ou,17,1,79,5,0,0.4916666666666667,0.7083333333333334,1,0.5984848484848485,0.15151515151515152,0
aʊ-ou_e,1,0,28,0,0,0.05075757575757576,0.041666666666666664,0,0.21212121212121213,0,0
aʊ-ough,0,0,1,0,2,0.023737373737373734,0,0,0.007575757575757576,0,0.1111111111111111
aʊ-ow,1,0,22,22,16,0.35277777777777775,0.041666666666666664,0,0.16666666666666666,0.6666666666666666,0.8888888888888888
aʊ-ow_e,0,0,1,0,0,0.0015151515151515152,0,0,0.007575757575757576,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,564,315,1,24,76,0.9774804905239687,1,0.9130434782608695,1,1,0.9743589743589743
b-bb,0,28,0,0,1,0.018795986622073577,0,0.08115942028985507,0,0,0.01282051282051282
b-br,0,0,0,0,1,0.002564102564102564,0,0,0,0,0.01282051282051282
b-pb,0,2,0,0,0,0.0011594202898550724,0,0.005797101449275362,0,0,0
d-d,429,377,22,84,484,0.964306509320606,1,0.9240196078431373,0.9565217391304348,0.9882352941176471,0.952755905511811
d-dd,0,31,1,1,2,0.027032073356559327,0,0.07598039215686274,0.043478260869565216,0.011764705882352941,0.003937007874015748
d-ddh,0,0,0,0,0,0,0,0,0,0,0
d-ed,0,0,0,0,19,0.007480314960629922,0,0,0,0,0.03740157480314961
d-ld,0,0,0,0,3,0.0011811023622047244,0,0,0,0,0.005905511811023622
dʒ-d,0,17,0,0,0,0.024113475177304965,0,0.12056737588652482,0,0,0
dʒ-dg,0,3,0,1,24,0.0963605823068309,0,0.02127659574468085,0,0.25,0.21052631578947367
dʒ-di,0,1,0,0,0,0.0014184397163120566,0,0.0070921985815602835,0,0,0
dʒ-dj,0,2,0,0,0,0.0028368794326241132,0,0.014184397163120567,0,0,0
dʒ-g,30,93,2,3,90,0.6870537249473155,0.23622047244094488,0.6595744680851063,1,0.75,0.7894736842105263
dʒ-gg,0,2,0,0,0,0.0028368794326241132,0,0.014184397163120567,0,0,0
dʒ-gi,0,4,0,0,0,0.0056737588652482265,0,0.028368794326241134,0,0,0
dʒ-j,97,19,0,0,0,0.1797062601217401,0.7637795275590551,0.1347517730496454,0,0,0
eɪ-a,16,12,12,185,0,0.34500074638005673,0.5517241379310345,0.34285714285714286,0.029556650246305417,0.8008658008658008,0
eɪ-a_e,6,22,277,0,0,0.30354679802955664,0.20689655172413793,0.6285714285714286,0.6822660098522167,0,0
eɪ-ae,0,0,0,0,1,0.0024691358024691358,0,0,0,0,0.012345679012345678
eɪ-ai,3,1,91,17,0,0.08595014181221078,0.10344827586206896,0.02857142857142857,0.22413793103448276,0.0735930735930736,0
eɪ-ai_e,1,0,8,0,0,0.010837438423645322,0.034482758620689655,0,0.019704433497536946,0,0
eɪ-aigh,0,0,1,1,0,0.0013584117032392894,0,0,0.0024630541871921183,0.004329004329004329,0
eɪ-au_e,0,0,1,0,0,4.926108374384236e-4,0,0,0.0024630541871921183,0,0
eɪ-ay,0,0,2,20,56,0.15657284392916576,0,0,0.0049261083743842365,0.08658008658008658,0.691358024691358
eɪ-ay_e,0,0,0,0,0,0,0,0,0,0,0
eɪ-aye,0,0,0,0,0,0,0,0,0,0,0
eɪ-e,0,0,0,2,3,0.009139009139009138,0,0,0,0.008658008658008658,0.037037037037037035
eɪ-e_e,0,0,1,0,0,4.926108374384236e-4,0,0,0.0024630541871921183,0,0
eɪ-ea,0,0,3,0,1,0.003946968314784406,0,0,0.007389162561576354,0,0.012345679012345678
eɪ-ee,0,0,0,0,0,0,0,0,0,0,0
eɪ-ei,0,0,6,2,0,0.004687266756232274,0,0,0.014778325123152709,0.008658008658008658,0
eɪ-ei_e,0,0,1,0,0,4.926108374384236e-4,0,0,0.0024630541871921183,0,0
eɪ-eigh,3,0,3,2,3,0.031306496823738206,0.10344827586206896,0,0.007389162561576354,0.008658008658008658,0.037037037037037035
eɪ-et,0,0,0,0,11,0.027160493827160494,0,0,0,0,0.13580246913580246
eɪ-ey,0,0,0,1,6,0.01568061568061568,0,0,0,0.004329004329004329,0.07407407407407407
eɪ-ez,0,0,0,1,0,8.658008658008658e-4,0,0,0,0.004329004329004329,0
f-f,418,163,34,15,54,0.763388189434796,0.960919540229885,0.63671875,0.8292682926829268,0.8333333333333334,0.5567010309278351
f-ff,0,58,1,2,26,0.12602101842539043,0,0.2265625,0.024390243902439025,0.1111111111111111,0.26804123711340205
f-ft,0,1,0,0,0,7.8125e-4,0,0.00390625,0,0,0
f-gh,0,1,1,1,7,0.031203399582320563,0,0.00390625,0.024390243902439025,0.05555555555555555,0.07216494845360824
f-lf,0,0,0,0,2,0.004123711340206186,0,0,0,0,0.020618556701030927
f-ph,17,32,5,0,8,0.07370118121728675,0.03908045977011494,0.125,0.12195121951219512,0,0.08247422680412371
f-pph,0,1,0,0,0,7.8125e-4,0,0.00390625,0,0,0
g-g,283,186,1,22,72,0.9118101374917519,0.956081081081081,0.8340807174887892,1,0.88,0.8888888888888888
g-gg,0,33,0,3,1,0.05606554835852294,0,0.14798206278026907,0,0.12,0.012345679012345678
g-gh,5,1,0,0,0,0.004275239364925463,0.016891891891891893,0.004484304932735426,0,0,0
g-gu,8,3,0,0,8,0.027849074784799744,0.02702702702702703,0.013452914798206279,0,0,0.09876543209876543
gz-x,0,0,0,13,0,0.2,0,0,0,1,0
h-h,304,57,0,0,0,0.3967637540453074,0.9838187702265372,1,0,0,0
h-j,0,0,0,0,0,0,0,0,0,0,0
h-wh,5,0,0,0,0,0.0032362459546925564,0.016181229773462782,0,0,0,0
i-a,0,0,0,0,0,0,0,0,0,0,0
i-ae,0,0,0,0,1,3.215434083601286e-4,0,0,0,0,0.001607717041800643
i-ay,0,0,0,0,1,3.215434083601286e-4,0,0,0,0,0.001607717041800643
i-e,23,2,1,126,20,0.21457518453409058,0.575,0.14285714285714285,0.003067484662576687,0.3197969543147208,0.03215434083601286
i-e_e,2,0,14,0,0,0.018588957055214725,0.05,0,0.04294478527607362,0,0
i-ea,11,0,108,66,7,0.15701101064124331,0.275,0,0.3312883435582822,0.16751269035532995,0.011254019292604502
