PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,1,0,0.0011111111111111111,0,0,0,0.005555555555555556,0
aɪ-ae,0,0,0,1,0,0.0011111111111111111,0,0,0,0.005555555555555556,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ay,0,0,0,2,0,0.0022222222222222222,0,0,0,0.011111111111111112,0
aɪ-aye,1,0,0,0,0,0.005405405405405406,0.02702702702702703,0,0,0,0
aɪ-ei,1,0,1,2,0,0.00820234027130579,0.02702702702702703,0,0.0028735632183908046,0.011111111111111112,0
aɪ-eigh,0,0,2,0,0,0.0011494252873563218,0,0,0.005747126436781609,0,0
aɪ-ey,0,0,0,1,0,0.0011111111111111111,0,0,0,0.005555555555555556,0
aɪ-eye,12,0,1,0,1,0.069361146135994,0.32432432432432434,0,0.0028735632183908046,0,0.0196078431372549
aɪ-i,17,0,44,130,2,0.2694668299130774,0.4594594594594595,0,0.12643678160919541,0.7222222222222222,0.0392156862745098
aɪ-i_e,5,1,247,0,0,0.3689810500155327,0.13513513513513514,1,0.7097701149425287,0,0
aɪ-ia,0,0,2,3,0,0.004482758620689655,0,0,0.005747126436781609,0.016666666666666666,0
aɪ-ie,0,0,7,0,6,0.02755240027045301,0,0,0.020114942528735632,0,0.11764705882352941
aɪ-igh,0,0,38,9,4,0.04752535496957404,0,0,0.10919540229885058,0.05,0.0784313725490196
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.0022222222222222222,0,0,0,0.011111111111111112,0
aɪ-uy,0,0,0,1,2,0.008954248366013072,0,0,0,0.005555555555555556,0.0392156862745098
aɪ-y,0,0,0,28,32,0.1566013071895425,0,0,0,0.15555555555555556,0.6274509803921569
aɪ-y_e,0,0,6,0,0,0.0034482758620689655,0,0,0.017241379310344827,0,0
aɪ-ye,0,0,0,0,4,0.01568627450980392,0,0,0,0,0.0784313725490196
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,1,1,0,0.0078125,0,0,0.0078125,0.03125,0
aʊ-ho,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-hou,1,0,0,0,0,0.008333333333333333,0.041666666666666664,0,0,0,0
aʊ-o,3,0,0,4,0,0.05,0.125,0,0,0.125,0
aʊ-ou,17,1,76,5,0,0.4916666666666667,0.7083333333333334,1,0.59375,0.15625,0
aʊ-ou_e,1,0,27,0,0,0.050520833333333334,0.041666666666666664,0,0.2109375,0,0
aʊ-ough,0,0,1,0,2,0.02378472222222222,0,0,0.0078125,0,0.1111111111111111
aʊ-ow,1,0,22,22,16,0.35798611111111106,0.041666666666666664,0,0.171875,0.6875,0.8888888888888888
aʊ-ow_e,0,0,1,0,0,0.0015625,0,0,0.0078125,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,556,301,1,24,73,0.9797215397215397,1,0.9121212121212121,1,1,0.9864864864864865
b-bb,0,27,0,0,1,0.019066339066339068,0,0.08181818181818182,0,0,0.013513513513513514
b-br,0,0,0,0,0,0,0,0,0,0,0
b-pb,0,2,0,0,0,0.0012121212121212121,0,0.006060606060606061,0,0,0
d-d,418,368,22,84,479,0.9638698159930545,1,0.9223057644110275,0.9565217391304348,0.9882352941176471,0.952286282306163
d-dd,0,31,1,1,2,0.02738266909640873,0,0.07769423558897243,0.043478260869565216,0.011764705882352941,0.003976143141153081
