PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ay,0,0,0,0,0,0,0,0,0,0,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,0,0,0,0,0,0,0,0,0,0,0
aɪ-eigh,0,0,0,0,0,0,0,0,0,0,0
aɪ-ey,0,0,0,0,0,0,0,0,0,0,0
aɪ-eye,0,0,0,0,0,0,0,0,0,0,0
aɪ-i,0,0,0,0,0,0,0,0,0,0,0
aɪ-i_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ia,0,0,0,0,0,0,0,0,0,0,0
aɪ-ie,0,0,0,0,0,0,0,0,0,0,0
aɪ-igh,0,0,0,0,0,0,0,0,0,0,0
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,0,0,0,0,0,0,0,0
aɪ-uy,0,0,0,0,0,0,0,0,0,0,0
aɪ-y,0,0,0,0,2,0.13333333333333333,0,0,0,0,0.6666666666666666
aɪ-y_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ye,0,0,0,0,1,0.06666666666666667,0,0,0,0,0.3333333333333333
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,0,0,0,0,0,0,0,0,0
aʊ-ho,0,0,0,0,0,0,0,0,0,0,0
aʊ-hou,0,0,0,0,0,0,0,0,0,0,0
aʊ-o,0,0,0,0,0,0,0,0,0,0,0
aʊ-ou,1,0,0,0,0,0.2,1,0,0,0,0
aʊ-ou_e,0,0,0,0,0,0,0,0,0,0,0
aʊ-ough,0,0,0,0,0,0,0,0,0,0,0
aʊ-ow,0,0,0,0,0,0,0,0,0,0,0
aʊ-ow_e,0,0,0,0,0,0,0,0,0,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,9,0,0,0,0,0.2,1,0,0,0,0
b-bb,0,0,0,0,0,0,0,0,0,0,0
b-br,0,0,0,0,0,0,0,0,0,0,0
b-pb,0,0,0,0,0,0,0,0,0,0,0
d-d,2,1,0,1,6,0.7,1,0.5,0,1,1
d-dd,0,1,0,0,0,0.1,0,0.5,0,0,0
d-ddh,0,0,0,0,0,0,0,0,0,0,0
d-ed,0,0,0,0,0,0,0,0,0,0,0
d-ld,0,0,0,0,0,0,0,0,0,0,0
dʒ-d,0,0,0,0,0,0,0,0,0,0,0
dʒ-dg,0,0,0,0,0,0,0,0,0,0,0
dʒ-di,0,0,0,0,0,0,0,0,0,0,0
dʒ-dj,0,0,0,0,0,0,0,0,0,0,0
