PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.00625,0.03125,0,0,0,0
aɪ-ay,0,0,0,1,0,0.0011976047904191617,0,0,0,0.005988023952095809,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,1,0,0,2,0,0.008645209580838323,0.03125,0,0,0.011976047904191617,0
aɪ-eigh,0,0,1,0,0,6.472491909385113e-4,0,0,0.003236245954692557,0,0
aɪ-ey,0,0,0,1,0,0.0011976047904191617,0,0,0,0.005988023952095809,0
aɪ-eye,12,0,0,0,0,0.075,0.375,0,0,0,0
aɪ-i,14,0,41,128,0,0.26733063000213164,0.4375,0,0.13268608414239483,0.7664670658682635,0
aɪ-i_e,4,1,218,0,0,0.36610032362459544,0.125,1,0.7055016181229773,0,0
aɪ-ia,0,0,2,3,0,0.0048873127531345074,0,0,0.006472491909385114,0.017964071856287425,0
aɪ-ie,0,0,7,0,6,0.031197411003236246,0,0,0.022653721682847898,0,0.13333333333333333
aɪ-igh,0,0,36,9,3,0.0474127473208922,0,0,0.11650485436893204,0.05389221556886228,0.06666666666666667
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.0023952095808383233,0,0,0,0.011976047904191617,0
aɪ-uy,0,0,0,1,2,0.010086493679308051,0,0,0,0.005988023952095809,0.044444444444444446
aɪ-y,0,0,0,20,31,0.16172987358616103,0,0,0,0.11976047904191617,0.6888888888888889
aɪ-y_e,0,0,4,0,0,0.0025889967637540453,0,0,0.012944983818770227,0,0
aɪ-ye,0,0,0,0,3,0.013333333333333332,0,0,0,0,0.06666666666666667
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,1,1,0,0.008161014612627516,0,0,0.008547008547008548,0.03225806451612903,0
aʊ-ho,1,0,0,0,0,0.008695652173913044,0.043478260869565216,0,0,0,0
aʊ-hou,1,0,0,0,0,0.008695652173913044,0.043478260869565216,0,0,0,0
aʊ-o,3,0,0,3,0,0.045441795231416546,0.13043478260869565,0,0,0.0967741935483871,0
aʊ-ou,16,1,70,5,0,0.49104661895685736,0.6956521739130435,1,0.5982905982905983,0.16129032258064516,0
aʊ-ou_e,1,0,24,0,0,0.04972129319955407,0.043478260869565216,0,0.20512820512820512,0,0
aʊ-ough,0,0,1,0,1,0.01420940170940171,0,0,0.008547008547008548,0,0.0625
aʊ-ow,1,0,20,22,15,0.372319170232915,0.043478260869565216,0,0.17094017094017094,0.7096774193548387,0.9375
aʊ-ow_e,0,0,1,0,0,0.0017094017094017096,0,0,0.008547008547008548,0,0
