PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
ɹ-wr,12,1,1,0,0,0.019654225157919536,0.08759124087591241,0.008928571428571428,0.0017513134851138354,0,0
ʃ-c,0,1,0,2,0,0.06190476190476191,0,0.023809523809523808,0,0.2857142857142857,0
ʃ-ch,0,1,0,0,2,0.013457556935817804,0,0.023809523809523808,0,0,0.043478260869565216
ʃ-chs,0,0,0,0,0,0,0,0,0,0,0
ʃ-ci,0,3,0,0,0,0.014285714285714285,0,0.07142857142857142,0,0,0
ʃ-s,2,0,0,0,0,0.006666666666666666,0.03333333333333333,0,0,0,0
ʃ-sc,0,0,0,0,0,0,0,0,0,0,0
ʃ-sch,0,0,0,0,0,0,0,0,0,0,0
ʃ-sci,0,0,0,0,0,0,0,0,0,0,0
ʃ-sh,58,23,2,5,44,0.8370186335403726,0.9666666666666667,0.5476190476190477,1,0.7142857142857143,0.9565217391304348
ʃ-shh,0,0,0,0,0,0,0,0,0,0,0
ʃ-shi,0,1,0,0,0,0.0047619047619047615,0,0.023809523809523808,0,0,0
ʃ-si,0,0,0,0,0,0,0,0,0,0,0
ʃ-ss,0,1,0,0,0,0.0047619047619047615,0,0.023809523809523808,0,0,0
ʃ-ssi,0,2,0,0,0,0.009523809523809523,0,0.047619047619047616,0,0,0
ʃ-t,0,0,0,0,0,0,0,0,0,0,0
ʃ-ti,0,10,0,0,0,0.047619047619047616,0,0.23809523809523808,0,0,0
ʃ-xi,0,0,0,0,0,0,0,0,0,0,0
ʊ-eu,0,0,0,0,0,0,0,0,0,0,0
ʊ-o,0,0,2,1,0,0.021065375302663437,0,0,0.03389830508474576,0.07142857142857142,0
ʊ-oo,0,0,36,7,0,0.22203389830508477,0,0,0.6101694915254238,0.5,0
ʊ-ou,0,0,3,0,0,0.01016949152542373,0,0,0.05084745762711865,0,0
ʊ-ow,0,0,0,0,1,0.2,0,0,0,0,1
ʊ-u,0,0,17,6,0,0.1433414043583535,0,0,0.288135593220339,0.42857142857142855,0
ʊ-u_e,0,0,1,0,0,0.003389830508474576,0,0,0.01694915254237288,0,0
ʊ-uo,0,0,0,0,0,0,0,0,0,0,0
ʌ-_e,0,0,7,0,0,0.006572769953051644,0,0,0.03286384976525822,0,0
ʌ-a,0,0,2,0,0,0.0018779342723004694,0,0,0.009389671361502348,0,0
ʌ-au_e,0,0,1,0,0,9.389671361502347e-4,0,0,0.004694835680751174,0,0
