PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.007407407407407407,0.037037037037037035,0,0,0,0
aɪ-ay,0,0,0,1,0,0.00145985401459854,0,0,0,0.0072992700729927005,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,1,0,0,2,0,0.010327115436604486,0.037037037037037035,0,0,0.014598540145985401,0
aɪ-eigh,0,0,1,0,0,7.662835249042145e-4,0,0,0.0038314176245210726,0,0
aɪ-ey,0,0,0,0,0,0,0,0,0,0,0
aɪ-eye,12,0,0,0,0,0.08888888888888888,0.4444444444444444,0,0,0,0
aɪ-i,10,0,37,103,0,0.2527915279991796,0.37037037037037035,0,0.1417624521072797,0.7518248175182481,0
aɪ-i_e,3,1,178,0,0,0.3586206896551724,0.1111111111111111,1,0.6819923371647509,0,0
aɪ-ia,0,0,2,3,0,0.005912129093604049,0,0,0.007662835249042145,0.021897810218978103,0
aɪ-ie,0,0,4,0,6,0.036398467432950186,0,0,0.01532567049808429,0,0.16666666666666666
aɪ-igh,0,0,35,9,3,0.05662527616970103,0,0,0.13409961685823754,0.06569343065693431,0.08333333333333333
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.00291970802919708,0,0,0,0.014598540145985401,0
aɪ-uy,0,0,0,1,2,0.012570965125709651,0,0,0,0.0072992700729927005,0.05555555555555555
aɪ-y,0,0,0,16,23,0.1511354420113544,0,0,0,0.11678832116788321,0.6388888888888888
aɪ-y_e,0,0,4,0,0,0.003065134099616858,0,0,0.01532567049808429,0,0
aɪ-ye,0,0,0,0,2,0.01111111111111111,0,0,0,0,0.05555555555555555
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,0,0,0,0,0,0,0,0,0
aʊ-ho,1,0,0,0,0,0.009523809523809523,0.047619047619047616,0,0,0,0
aʊ-hou,1,0,0,0,0,0.009523809523809523,0.047619047619047616,0,0,0,0
aʊ-o,3,0,0,2,0,0.04285714285714286,0.14285714285714285,0,0,0.07142857142857142,0
aʊ-ou,14,1,58,5,0,0.48863524791359836,0.6666666666666666,1,0.5979381443298969,0.17857142857142858,0
aʊ-ou_e,1,0,20,0,0,0.05076092292587138,0.047619047619047616,0,0.20618556701030927,0,0
aʊ-ough,0,0,0,0,1,0.013333333333333332,0,0,0,0,0.06666666666666667
aʊ-ow,1,0,19,21,14,0.38536573392243495,0.047619047619047616,0,0.1958762886597938,0.75,0.9333333333333333
aʊ-ow_e,0,0,0,0,0,0,0,0,0,0,0
