PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.006666666666666666,0.03333333333333333,0,0,0,0
aɪ-ay,0,0,0,1,0,0.001282051282051282,0,0,0,0.00641025641025641,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,1,0,0,2,0,0.009230769230769232,0.03333333333333333,0,0,0.01282051282051282,0
aɪ-eigh,0,0,1,0,0,6.89655172413793e-4,0,0,0.0034482758620689655,0,0
aɪ-ey,0,0,0,0,0,0,0,0,0,0,0
aɪ-eye,12,0,0,0,0,0.08,0.4,0,0,0,0
aɪ-i,12,0,40,121,0,0.26271441202475687,0.4,0,0.13793103448275862,0.7756410256410257,0
aɪ-i_e,4,1,200,0,0,0.3645977011494253,0.13333333333333333,1,0.6896551724137931,0,0
aɪ-ia,0,0,2,3,0,0.005225464190981433,0,0,0.006896551724137931,0.019230769230769232,0
aɪ-ie,0,0,7,0,6,0.032734562951082596,0,0,0.02413793103448276,0,0.13953488372093023
aɪ-igh,0,0,36,9,3,0.050319536117451116,0,0,0.12413793103448276,0.057692307692307696,0.06976744186046512
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.002564102564102564,0,0,0,0.01282051282051282,0
aɪ-uy,0,0,0,1,2,0.01058437686344663,0,0,0,0.00641025641025641,0.046511627906976744
aɪ-y,0,0,0,17,29,0.15667859272510434,0,0,0,0.10897435897435898,0.6744186046511628
aɪ-y_e,0,0,4,0,0,0.002758620689655172,0,0,0.013793103448275862,0,0
aɪ-ye,0,0,0,0,3,0.013953488372093023,0,0,0,0,0.06976744186046512
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,1,1,0,0.008731414109459032,0,0,0.009174311926605505,0.034482758620689655,0
aʊ-ho,1,0,0,0,0,0.00909090909090909,0.045454545454545456,0,0,0,0
aʊ-hou,1,0,0,0,0,0.00909090909090909,0.045454545454545456,0,0,0,0
aʊ-o,3,0,0,2,0,0.04106583072100313,0.13636363636363635,0,0,0.06896551724137931,0
aʊ-ou,15,1,64,5,0,0.4882775876448765,0.6818181818181818,1,0.5871559633027523,0.1724137931034483,0
aʊ-ou_e,1,0,22,0,0,0.049457881567973316,0.045454545454545456,0,0.2018348623853211,0,0
aʊ-ough,0,0,1,0,1,0.014334862385321102,0,0,0.009174311926605505,0,0.0625
aʊ-ow,1,0,20,21,15,0.3781157430042277,0.045454545454545456,0,0.1834862385321101,0.7241379310344828,0.9375
aʊ-ow_e,0,0,1,0,0,0.001834862385321101,0,0,0.009174311926605505,0,0
