PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,1,0,0.0011560693641618496,0,0,0,0.005780346820809248,0
aɪ-ae,0,0,0,1,0,0.0011560693641618496,0,0,0,0.005780346820809248,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,1,0,0,0,0,0.005714285714285714,0.02857142857142857,0,0,0,0
aɪ-ay,0,0,0,1,0,0.0011560693641618496,0,0,0,0.005780346820809248,0
aɪ-aye,1,0,0,0,0,0.005714285714285714,0.02857142857142857,0,0,0,0
aɪ-ei,1,0,0,2,0,0.008026424442609413,0.02857142857142857,0,0,0.011560693641618497,0
aɪ-eigh,0,0,1,0,0,6.060606060606061e-4,0,0,0.0030303030303030303,0,0
aɪ-ey,0,0,0,1,0,0.0011560693641618496,0,0,0,0.005780346820809248,0
aɪ-eye,12,0,0,0,0,0.06857142857142857,0.34285714285714286,0,0,0,0
aɪ-i,16,0,43,130,1,0.27212602091717447,0.45714285714285713,0,0.1303030303030303,0.7514450867052023,0.021739130434782608
aɪ-i_e,4,1,236,0,0,0.36588744588744593,0.11428571428571428,1,0.7151515151515152,0,0
aɪ-ia,0,0,2,3,0,0.004680329304606761,0,0,0.006060606060606061,0.017341040462427744,0
aɪ-ie,0,0,7,0,6,0.03032938076416337,0,0,0.021212121212121213,0,0.13043478260869565
aɪ-igh,0,0,36,9,3,0.045266284356508035,0,0,0.10909090909090909,0.05202312138728324,0.06521739130434782
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,2,0,0.002312138728323699,0,0,0,0.011560693641618497,0
aɪ-uy,0,0,0,1,2,0.009851721538074893,0,0,0,0.005780346820809248,0.043478260869565216
aɪ-y,0,0,0,22,31,0.16021613470721285,0,0,0,0.12716763005780346,0.6739130434782609
aɪ-y_e,0,0,5,0,0,0.0030303030303030303,0,0,0.015151515151515152,0,0
aɪ-ye,0,0,0,0,3,0.013043478260869565,0,0,0,0,0.06521739130434782
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,1,1,0,0.008104505465209277,0,0,0.008264462809917356,0.03225806451612903,0
aʊ-ho,1,0,0,0,0,0.008695652173913044,0.043478260869565216,0,0,0,0
aʊ-hou,1,0,0,0,0,0.008695652173913044,0.043478260869565216,0,0,0,0
aʊ-o,3,0,0,3,0,0.045441795231416546,0.13043478260869565,0,0,0.0967741935483871,0
aʊ-ou,16,1,73,5,0,0.4920496563235311,0.6956521739130435,1,0.6033057851239669,0.16129032258064516,0
aʊ-ou_e,1,0,25,0,0,0.05001796622349982,0.043478260869565216,0,0.2066115702479339,0,0
aʊ-ough,0,0,1,0,2,0.023875114784205693,0,0,0.008264462809917356,0,0.1111111111111111
aʊ-ow,1,0,20,22,16,0.36146676506232794,0.043478260869565216,0,0.1652892561983471,0.7096774193548387,0.8888888888888888
aʊ-ow_e,0,0,1,0,0,0.001652892561983471,0,0,0.008264462809917356,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,537,291,1,23,73,0.9791722972972974,1,0.909375,1,1,0.9864864864864865
b-bb,0,27,0,0,1,0.019577702702702704,0,0.084375,0,0,0.013513513513513514
b-br,0,0,0,0,0,0,0,0,0,0,0
b-pb,0,2,0,0,0,0.00125,0,0.00625,0,0,0
d-d,406,350,22,84,460,0.9627610853984503,1,0.9186351706036745,0.9565217391304348,0.9882352941176471,0.9504132231404959
d-dd,0,31,1,1,2,0.02814800551064046,0,0.08136482939632546,0.043478260869565216,0.011764705882352941,0.004132231404958678
d-ddh,0,0,0,0,0,0,0,0,0,0,0
d-ed,0,0,0,0,19,0.007851239669421488,0,0,0,0,0.03925619834710744
d-ld,0,0,0,0,3,0.0012396694214876034,0,0,0,0,0.006198347107438017
dʒ-d,0,14,0,0,0,0.02204724409448819,0,0.11023622047244094,0,0,0
