"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",43,2,248,101,0,394,1.63346845557959,0.301029995663981,2.39445168082622,2.00432137378264,-Inf,2.59549622182557
"2",2,"æ","a_e",1,1,7,0,0,9,0,0,0.845098040014257,-Inf,-Inf,0.954242509439325
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"5",5,"æ","au",2,0,2,1,0,5,0.301029995663981,-Inf,0.301029995663981,0,-Inf,0.698970004336019
"6",6,"æ","ea",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"9",9,"ʌ","_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"10",10,"ʌ","a",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",5,0,14,22,0,41,0.698970004336019,-Inf,1.14612803567824,1.34242268082221,-Inf,1.61278385671974
"13",13,"ʌ","o_e",0,0,19,0,0,19,-Inf,-Inf,1.27875360095283,-Inf,-Inf,1.27875360095283
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"16",16,"ʌ","ou",0,0,8,6,0,14,-Inf,-Inf,0.903089986991944,0.778151250383644,-Inf,1.14612803567824
"17",17,"ʌ","u",36,0,157,67,0,260,1.55630250076729,-Inf,2.19589965240923,1.82607480270083,-Inf,2.41497334797082
"18",18,"ʌ","u_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"20",20,"ɪ","a",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"21",21,"ɪ","a_e",0,1,8,0,0,9,-Inf,0,0.903089986991944,-Inf,-Inf,0.954242509439325
"22",22,"ɪ","e",15,0,30,47,0,92,1.17609125905568,-Inf,1.47712125471966,1.67209785793572,-Inf,1.96378782734556
"23",23,"ɪ","e_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"24",24,"ɪ","ea",2,0,13,2,0,17,0.301029995663981,-Inf,1.11394335230684,0.301029995663981,-Inf,1.23044892137827
"25",25,"ɪ","ee",0,0,6,0,0,6,-Inf,-Inf,0.778151250383644,-Inf,-Inf,0.778151250383644
"26",26,"ɪ","ei",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"27",27,"ɪ","eo",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"28",28,"ɪ","hi",0,1,0,7,0,8,-Inf,0,-Inf,0.845098040014257,-Inf,0.903089986991944
"29",29,"ɪ","i",29,20,390,156,0,595,1.46239799789896,1.30102999566398,2.5910646070265,2.19312459835446,-Inf,2.77451696572855
"30",30,"ɪ","i_e",0,1,20,0,0,21,-Inf,0,1.30102999566398,-Inf,-Inf,1.32221929473392
"31",31,"ɪ","ia",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"32",32,"ɪ","ia_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"33",33,"ɪ","ie",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"34",34,"ɪ","ie_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"35",35,"ɪ","o",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"36",36,"ɪ","u",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"37",37,"ɪ","ui",0,0,4,1,0,5,-Inf,-Inf,0.602059991327962,0,-Inf,0.698970004336019
"38",38,"ɪ","y",0,0,3,3,0,6,-Inf,-Inf,0.477121254719662,0.477121254719662,-Inf,0.778151250383644
"39",39,"ɔɪ","awy",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"40",40,"ɔɪ","eu",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"41",41,"ɔɪ","oi",1,0,6,4,0,11,0,-Inf,0.778151250383644,0.602059991327962,-Inf,1.04139268515823
"42",42,"ɔɪ","oi_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"43",43,"ɔɪ","oy",0,0,0,0,8,8,-Inf,-Inf,-Inf,-Inf,0.903089986991944,0.903089986991944
"44",44,"ɔɪ","oy_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"45",45,"ɔɪ","oye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"46",46,"ɚ","_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"47",47,"ɚ","a",0,1,22,0,0,23,-Inf,0,1.34242268082221,-Inf,-Inf,1.36172783601759
"48",48,"ɚ","a_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"49",49,"ɚ","au",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"50",50,"ɚ","e",0,21,295,0,0,316,-Inf,1.32221929473392,2.46982201597816,-Inf,-Inf,2.4996870826184
"51",51,"ɚ","e_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"52",52,"ɚ","ea",3,0,6,0,0,9,0.477121254719662,-Inf,0.778151250383644,-Inf,-Inf,0.954242509439325
"53",53,"ɚ","ea_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"54",54,"ɚ","eu",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"55",55,"ɚ","he",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"56",56,"ɚ","i",0,0,36,0,0,36,-Inf,-Inf,1.55630250076729,-Inf,-Inf,1.55630250076729
"57",57,"ɚ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"58",58,"ɚ","o",0,0,55,0,0,55,-Inf,-Inf,1.74036268949424,-Inf,-Inf,1.74036268949424
"59",59,"ɚ","o_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"60",60,"ɚ","oa",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"61",61,"ɚ","ou",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"62",62,"ɚ","ou_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"63",63,"ɚ","r",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"64",64,"ɚ","u",0,6,34,0,0,40,-Inf,0.778151250383644,1.53147891704226,-Inf,-Inf,1.60205999132796
"65",65,"ɚ","u_e",0,0,12,0,0,12,-Inf,-Inf,1.07918124604762,-Inf,-Inf,1.07918124604762
"66",66,"ɚ","y",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"67",67,"aɪ","a",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"68",68,"aɪ","ae",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"69",69,"aɪ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"70",70,"aɪ","ai_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"71",71,"aɪ","ay",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"72",72,"aɪ","aye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"73",73,"aɪ","ei",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"74",74,"aɪ","eigh",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"75",75,"aɪ","ey",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"76",76,"aɪ","eye",10,0,0,0,0,10,1,-Inf,-Inf,-Inf,-Inf,1
"77",77,"aɪ","i",7,0,29,58,0,94,0.845098040014257,-Inf,1.46239799789896,1.76342799356294,-Inf,1.9731278535997
"78",78,"aɪ","i_e",1,1,103,0,0,105,0,0,2.01283722470517,-Inf,-Inf,2.02118929906994
"79",79,"aɪ","ia",0,0,1,2,0,3,-Inf,-Inf,0,0.301029995663981,-Inf,0.477121254719662
"80",80,"aɪ","ie",0,0,3,0,6,9,-Inf,-Inf,0.477121254719662,-Inf,0.778151250383644,0.954242509439325
"81",81,"aɪ","igh",0,0,26,5,2,33,-Inf,-Inf,1.41497334797082,0.698970004336019,0.301029995663981,1.51851393987789
"82",82,"aɪ","igh_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"83",83,"aɪ","oy",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"84",84,"aɪ","uy",0,0,0,1,2,3,-Inf,-Inf,-Inf,0,0.301029995663981,0.477121254719662
"85",85,"aɪ","y",0,0,0,8,14,22,-Inf,-Inf,-Inf,0.903089986991944,1.14612803567824,1.34242268082221
"86",86,"aɪ","y_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"87",87,"aɪ","ye",0,0,0,0,1,1,-Inf,-Inf,-Inf,-Inf,0,0
