"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",115,13,522,278,0,928,2.06069784035361,1.11394335230684,2.71767050300226,2.44404479591808,-Inf,2.96754797621886
"2",2,"æ","a_e",2,1,27,0,0,30,0.301029995663981,0,1.43136376415899,-Inf,-Inf,1.47712125471966
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"5",5,"æ","au",2,0,2,1,0,5,0.301029995663981,-Inf,0.301029995663981,0,-Inf,0.698970004336019
"6",6,"æ","ea",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"9",9,"ʌ","_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"10",10,"ʌ","a",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",6,0,26,40,0,72,0.778151250383644,-Inf,1.41497334797082,1.60205999132796,-Inf,1.85733249643127
"13",13,"ʌ","o_e",0,0,23,0,0,23,-Inf,-Inf,1.36172783601759,-Inf,-Inf,1.36172783601759
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"16",16,"ʌ","ou",0,0,9,8,0,17,-Inf,-Inf,0.954242509439325,0.903089986991944,-Inf,1.23044892137827
"17",17,"ʌ","u",73,1,333,125,0,532,1.86332286012046,0,2.52244423350632,2.09691001300806,-Inf,2.72591163229505
"18",18,"ʌ","u_e",0,0,12,0,0,12,-Inf,-Inf,1.07918124604762,-Inf,-Inf,1.07918124604762
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"20",20,"ɪ","a",0,1,1,1,0,3,-Inf,0,0,0,-Inf,0.477121254719662
"21",21,"ɪ","a_e",0,10,30,0,0,40,-Inf,1,1.47712125471966,-Inf,-Inf,1.60205999132796
"22",22,"ɪ","e",74,0,68,189,0,331,1.86923171973098,-Inf,1.83250891270624,2.27646180417324,-Inf,2.51982799377572
"23",23,"ɪ","e_e",0,0,10,0,0,10,-Inf,-Inf,1,-Inf,-Inf,1
"24",24,"ɪ","ea",2,0,24,4,0,30,0.301029995663981,-Inf,1.38021124171161,0.602059991327962,-Inf,1.47712125471966
"25",25,"ɪ","ee",0,0,16,1,0,17,-Inf,-Inf,1.20411998265592,0,-Inf,1.23044892137827
"26",26,"ɪ","ei",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"27",27,"ɪ","eo",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"28",28,"ɪ","hi",0,1,0,11,0,12,-Inf,0,-Inf,1.04139268515823,-Inf,1.07918124604762
"29",29,"ɪ","i",124,36,745,425,0,1330,2.09342168516224,1.55630250076729,2.87215627274829,2.62838893005031,-Inf,3.12385164096709
"30",30,"ɪ","i_e",0,2,72,0,0,74,-Inf,0.301029995663981,1.85733249643127,-Inf,-Inf,1.86923171973098
"31",31,"ɪ","ia",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"32",32,"ɪ","ia_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"33",33,"ɪ","ie",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"34",34,"ɪ","ie_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"35",35,"ɪ","o",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"36",36,"ɪ","u",0,0,3,1,0,4,-Inf,-Inf,0.477121254719662,0,-Inf,0.602059991327962
"37",37,"ɪ","ui",0,0,6,2,0,8,-Inf,-Inf,0.778151250383644,0.301029995663981,-Inf,0.903089986991944
"38",38,"ɪ","y",0,0,12,15,0,27,-Inf,-Inf,1.07918124604762,1.17609125905568,-Inf,1.43136376415899
"39",39,"ɔɪ","awy",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"40",40,"ɔɪ","eu",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"41",41,"ɔɪ","oi",3,0,26,5,0,34,0.477121254719662,-Inf,1.41497334797082,0.698970004336019,-Inf,1.53147891704226
"42",42,"ɔɪ","oi_e",0,0,5,0,0,5,-Inf,-Inf,0.698970004336019,-Inf,-Inf,0.698970004336019
"43",43,"ɔɪ","oy",1,0,0,10,12,23,0,-Inf,-Inf,1,1.07918124604762,1.36172783601759
"44",44,"ɔɪ","oy_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"45",45,"ɔɪ","oye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"46",46,"ɚ","_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"47",47,"ɚ","a",0,4,63,0,0,67,-Inf,0.602059991327962,1.79934054945358,-Inf,-Inf,1.82607480270083
"48",48,"ɚ","a_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"49",49,"ɚ","au",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"50",50,"ɚ","e",0,39,658,0,0,697,-Inf,1.5910646070265,2.81822589361396,-Inf,-Inf,2.84323277809801
"51",51,"ɚ","e_e",0,0,14,0,0,14,-Inf,-Inf,1.14612803567824,-Inf,-Inf,1.14612803567824
"52",52,"ɚ","ea",8,0,11,0,0,19,0.903089986991944,-Inf,1.04139268515823,-Inf,-Inf,1.27875360095283
"53",53,"ɚ","ea_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"54",54,"ɚ","eu",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"55",55,"ɚ","he",1,0,1,0,0,2,0,-Inf,0,-Inf,-Inf,0.301029995663981
"56",56,"ɚ","i",0,0,58,0,0,58,-Inf,-Inf,1.76342799356294,-Inf,-Inf,1.76342799356294
"57",57,"ɚ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"58",58,"ɚ","o",2,4,124,0,0,130,0.301029995663981,0.602059991327962,2.09342168516224,-Inf,-Inf,2.11394335230684
"59",59,"ɚ","o_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"60",60,"ɚ","oa",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"61",61,"ɚ","ou",0,0,15,0,0,15,-Inf,-Inf,1.17609125905568,-Inf,-Inf,1.17609125905568
"62",62,"ɚ","ou_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"63",63,"ɚ","r",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"64",64,"ɚ","u",5,8,86,0,0,99,0.698970004336019,0.903089986991944,1.93449845124357,-Inf,-Inf,1.99563519459755
"65",65,"ɚ","u_e",1,0,49,0,0,50,0,-Inf,1.69019608002851,-Inf,-Inf,1.69897000433602
"66",66,"ɚ","y",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"67",67,"aɪ","a",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"68",68,"aɪ","ae",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"69",69,"aɪ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"70",70,"aɪ","ai_e",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"71",71,"aɪ","ay",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"72",72,"aɪ","aye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"73",73,"aɪ","ei",1,0,0,2,0,3,0,-Inf,-Inf,0.301029995663981,-Inf,0.477121254719662
"74",74,"aɪ","eigh",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"75",75,"aɪ","ey",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"76",76,"aɪ","eye",12,0,0,0,0,12,1.07918124604762,-Inf,-Inf,-Inf,-Inf,1.07918124604762
"77",77,"aɪ","i",14,0,41,128,0,183,1.14612803567824,-Inf,1.61278385671974,2.10720996964787,-Inf,2.26245108973043
"78",78,"aɪ","i_e",4,1,218,0,0,223,0.602059991327962,0,2.3384564936046,-Inf,-Inf,2.34830486304816
"79",79,"aɪ","ia",0,0,2,3,0,5,-Inf,-Inf,0.301029995663981,0.477121254719662,-Inf,0.698970004336019
"80",80,"aɪ","ie",0,0,7,0,6,13,-Inf,-Inf,0.845098040014257,-Inf,0.778151250383644,1.11394335230684
"81",81,"aɪ","igh",0,0,36,9,3,48,-Inf,-Inf,1.55630250076729,0.954242509439325,0.477121254719662,1.68124123737559
"82",82,"aɪ","igh_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"83",83,"aɪ","oy",0,0,0,2,0,2,-Inf,-Inf,-Inf,0.301029995663981,-Inf,0.301029995663981
"84",84,"aɪ","uy",0,0,0,1,2,3,-Inf,-Inf,-Inf,0,0.301029995663981,0.477121254719662
"85",85,"aɪ","y",0,0,0,20,31,51,-Inf,-Inf,-Inf,1.30102999566398,1.49136169383427,1.70757017609794
"86",86,"aɪ","y_e",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"87",87,"aɪ","ye",0,0,0,0,3,3,-Inf,-Inf,-Inf,-Inf,0.477121254719662,0.477121254719662
"88",88,"eɪ","a",15,11,11,171,0,208,1.17609125905568,1.04139268515823,1.04139268515823,2.23299611039215,-Inf,2.31806333496276
"89",89,"eɪ","a_e",6,16,243,0,0,265,0.778151250383644,1.20411998265592,2.38560627359831,-Inf,-Inf,2.42324587393681
"90",90,"eɪ","ae",0,0,0,0,1,1,-Inf,-Inf,-Inf,-Inf,0,0
"91",91,"eɪ","ai",3,0,81,17,0,101,0.477121254719662,-Inf,1.90848501887865,1.23044892137827,-Inf,2.00432137378264
"92",92,"eɪ","ai_e",1,0,4,0,0,5,0,-Inf,0.602059991327962,-Inf,-Inf,0.698970004336019
"93",93,"eɪ","aigh",0,0,1,1,0,2,-Inf,-Inf,0,0,-Inf,0.301029995663981
"94",94,"eɪ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"95",95,"eɪ","ay",0,0,2,18,56,76,-Inf,-Inf,0.301029995663981,1.25527250510331,1.7481880270062,1.88081359228079
"96",96,"eɪ","ay_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"97",97,"eɪ","aye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
