"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",133,14,561,305,0,1013,2.12385164096709,1.14612803567824,2.74896286125616,2.48429983934679,-Inf,3.00560944536028
"2",2,"æ","a_e",2,1,34,0,0,37,0.301029995663981,0,1.53147891704226,-Inf,-Inf,1.568201724067
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"5",5,"æ","au",2,0,3,1,0,6,0.301029995663981,-Inf,0.477121254719662,0,-Inf,0.778151250383644
"6",6,"æ","ea",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"9",9,"ʌ","_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"10",10,"ʌ","a",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",6,0,26,40,0,72,0.778151250383644,-Inf,1.41497334797082,1.60205999132796,-Inf,1.85733249643127
"13",13,"ʌ","o_e",0,0,24,0,0,24,-Inf,-Inf,1.38021124171161,-Inf,-Inf,1.38021124171161
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"16",16,"ʌ","ou",0,0,10,8,0,18,-Inf,-Inf,1,0.903089986991944,-Inf,1.25527250510331
"17",17,"ʌ","u",75,1,357,131,0,564,1.8750612633917,0,2.55266821611219,2.11727129565576,-Inf,2.75127910398334
"18",18,"ʌ","u_e",0,0,13,0,0,13,-Inf,-Inf,1.11394335230684,-Inf,-Inf,1.11394335230684
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"20",20,"ɪ","a",0,1,1,1,0,3,-Inf,0,0,0,-Inf,0.477121254719662
"21",21,"ɪ","a_e",0,11,33,0,0,44,-Inf,1.04139268515823,1.51851393987789,-Inf,-Inf,1.64345267648619
"22",22,"ɪ","e",86,0,69,203,0,358,1.93449845124357,-Inf,1.83884909073726,2.30749603791321,-Inf,2.55388302664387
"23",23,"ɪ","e_e",0,0,11,0,0,11,-Inf,-Inf,1.04139268515823,-Inf,-Inf,1.04139268515823
"24",24,"ɪ","ea",2,0,25,4,0,31,0.301029995663981,-Inf,1.39794000867204,0.602059991327962,-Inf,1.49136169383427
"25",25,"ɪ","ee",0,0,19,2,0,21,-Inf,-Inf,1.27875360095283,0.301029995663981,-Inf,1.32221929473392
