"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",143,15,575,318,0,1051,2.15533603746506,1.17609125905568,2.75966784468963,2.50242711998443,-Inf,3.02160271602824
"2",2,"æ","a_e",2,2,36,0,0,40,0.301029995663981,0.301029995663981,1.55630250076729,-Inf,-Inf,1.60205999132796
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"5",5,"æ","au",2,0,3,1,0,6,0.301029995663981,-Inf,0.477121254719662,0,-Inf,0.778151250383644
"6",6,"æ","ea",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"9",9,"ʌ","_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"10",10,"ʌ","a",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",6,0,26,40,0,72,0.778151250383644,-Inf,1.41497334797082,1.60205999132796,-Inf,1.85733249643127
"13",13,"ʌ","o_e",0,0,24,0,0,24,-Inf,-Inf,1.38021124171161,-Inf,-Inf,1.38021124171161
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"16",16,"ʌ","ou",0,0,10,8,0,18,-Inf,-Inf,1,0.903089986991944,-Inf,1.25527250510331
"17",17,"ʌ","u",75,1,363,133,0,572,1.8750612633917,0,2.55990662503611,2.12385164096709,-Inf,2.75739602879302
"18",18,"ʌ","u_e",0,0,13,0,0,13,-Inf,-Inf,1.11394335230684,-Inf,-Inf,1.11394335230684
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"20",20,"ɪ","a",0,1,1,1,0,3,-Inf,0,0,0,-Inf,0.477121254719662
"21",21,"ɪ","a_e",0,11,34,0,0,45,-Inf,1.04139268515823,1.53147891704226,-Inf,-Inf,1.65321251377534
"22",22,"ɪ","e",91,0,69,208,0,368,1.95904139232109,-Inf,1.83884909073726,2.31806333496276,-Inf,2.56584781867352
"23",23,"ɪ","e_e",0,0,12,0,0,12,-Inf,-Inf,1.07918124604762,-Inf,-Inf,1.07918124604762
"24",24,"ɪ","ea",2,0,25,4,0,31,0.301029995663981,-Inf,1.39794000867204,0.602059991327962,-Inf,1.49136169383427
"25",25,"ɪ","ee",0,0,19,2,0,21,-Inf,-Inf,1.27875360095283,0.301029995663981,-Inf,1.32221929473392
"26",26,"ɪ","ei",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"27",27,"ɪ","eo",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"28",28,"ɪ","hi",0,2,0,11,0,13,-Inf,0.301029995663981,-Inf,1.04139268515823,-Inf,1.11394335230684
"29",29,"ɪ","i",140,42,825,489,0,1496,2.14612803567824,1.6232492903979,2.91645394854993,2.68930885912362,-Inf,3.17493159352844
"30",30,"ɪ","i_e",0,2,85,0,0,87,-Inf,0.301029995663981,1.92941892571429,-Inf,-Inf,1.93951925261862
"31",31,"ɪ","ia",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"32",32,"ɪ","ia_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"33",33,"ɪ","ie",0,0,5,0,0,5,-Inf,-Inf,0.698970004336019,-Inf,-Inf,0.698970004336019
"34",34,"ɪ","ie_e",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"35",35,"ɪ","o",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"36",36,"ɪ","u",0,0,3,1,0,4,-Inf,-Inf,0.477121254719662,0,-Inf,0.602059991327962
"37",37,"ɪ","ui",0,0,7,2,0,9,-Inf,-Inf,0.845098040014257,0.301029995663981,-Inf,0.954242509439325
"38",38,"ɪ","y",0,0,24,18,0,42,-Inf,-Inf,1.38021124171161,1.25527250510331,-Inf,1.6232492903979
"39",39,"ɔɪ","awy",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"40",40,"ɔɪ","eu",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"41",41,"ɔɪ","oi",3,0,28,7,0,38,0.477121254719662,-Inf,1.44715803134222,0.845098040014257,-Inf,1.57978359661681
"42",42,"ɔɪ","oi_e",0,0,6,0,0,6,-Inf,-Inf,0.778151250383644,-Inf,-Inf,0.778151250383644
"43",43,"ɔɪ","oy",1,0,0,11,16,28,0,-Inf,-Inf,1.04139268515823,1.20411998265592,1.44715803134222
"44",44,"ɔɪ","oy_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"45",45,"ɔɪ","oye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"46",46,"ɚ","_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"47",47,"ɚ","a",0,5,72,0,0,77,-Inf,0.698970004336019,1.85733249643127,-Inf,-Inf,1.88649072517248
"48",48,"ɚ","a_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"49",49,"ɚ","au",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"50",50,"ɚ","e",3,40,704,0,0,747,0.477121254719662,1.60205999132796,2.84757265914211,-Inf,-Inf,2.8733206018154
"51",51,"ɚ","e_e",0,1,15,0,0,16,-Inf,0,1.17609125905568,-Inf,-Inf,1.20411998265592
"52",52,"ɚ","ea",8,0,13,0,0,21,0.903089986991944,-Inf,1.11394335230684,-Inf,-Inf,1.32221929473392
"53",53,"ɚ","ea_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"54",54,"ɚ","eu",0,0,8,0,0,8,-Inf,-Inf,0.903089986991944,-Inf,-Inf,0.903089986991944
"55",55,"ɚ","he",1,0,1,0,0,2,0,-Inf,0,-Inf,-Inf,0.301029995663981
"56",56,"ɚ","i",2,1,65,0,0,68,0.301029995663981,0,1.81291335664286,-Inf,-Inf,1.83250891270624
"57",57,"ɚ","i_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"58",58,"ɚ","o",2,5,141,0,0,148,0.301029995663981,0.698970004336019,2.14921911265538,-Inf,-Inf,2.17026171539496
"59",59,"ɚ","o_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"60",60,"ɚ","oa",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"61",61,"ɚ","ou",0,0,18,0,0,18,-Inf,-Inf,1.25527250510331,-Inf,-Inf,1.25527250510331
"62",62,"ɚ","ou_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"63",63,"ɚ","r",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"64",64,"ɚ","u",5,9,93,0,0,107,0.698970004336019,0.954242509439325,1.96848294855394,-Inf,-Inf,2.02938377768521
"65",65,"ɚ","u_e",1,0,53,0,0,54,0,-Inf,1.72427586960079,-Inf,-Inf,1.73239375982297
"66",66,"ɚ","y",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"67",67,"aɪ","a",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"68",68,"aɪ","ae",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"69",69,"aɪ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"70",70,"aɪ","ai_e",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"71",71,"aɪ","ay",0,0,0,2,0,2,-Inf,-Inf,-Inf,0.301029995663981,-Inf,0.301029995663981
"72",72,"aɪ","aye",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"73",73,"aɪ","ei",1,0,2,2,0,5,0,-Inf,0.301029995663981,0.301029995663981,-Inf,0.698970004336019
"74",74,"aɪ","eigh",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
