"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"54",54,"ɚ","eu",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"55",55,"ɚ","he",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"56",56,"ɚ","i",0,0,40,0,0,40,-Inf,-Inf,1.60205999132796,-Inf,-Inf,1.60205999132796
"57",57,"ɚ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"58",58,"ɚ","o",0,1,85,0,0,86,-Inf,0,1.92941892571429,-Inf,-Inf,1.93449845124357
"59",59,"ɚ","o_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"60",60,"ɚ","oa",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"61",61,"ɚ","ou",0,0,6,0,0,6,-Inf,-Inf,0.778151250383644,-Inf,-Inf,0.778151250383644
"62",62,"ɚ","ou_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"63",63,"ɚ","r",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"64",64,"ɚ","u",0,6,49,0,0,55,-Inf,0.778151250383644,1.69019608002851,-Inf,-Inf,1.74036268949424
"65",65,"ɚ","u_e",0,0,27,0,0,27,-Inf,-Inf,1.43136376415899,-Inf,-Inf,1.43136376415899
"66",66,"ɚ","y",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"67",67,"aɪ","a",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"68",68,"aɪ","ae",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"69",69,"aɪ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"70",70,"aɪ","ai_e",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"71",71,"aɪ","ay",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"72",72,"aɪ","aye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"73",73,"aɪ","ei",1,0,0,2,0,3,0,-Inf,-Inf,0.301029995663981,-Inf,0.477121254719662
"74",74,"aɪ","eigh",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"75",75,"aɪ","ey",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"76",76,"aɪ","eye",12,0,0,0,0,12,1.07918124604762,-Inf,-Inf,-Inf,-Inf,1.07918124604762
"77",77,"aɪ","i",9,0,35,85,0,129,0.954242509439325,-Inf,1.54406804435028,1.92941892571429,-Inf,2.11058971029925
"78",78,"aɪ","i_e",2,1,149,0,0,152,0.301029995663981,0,2.17318626841227,-Inf,-Inf,2.18184358794477
"79",79,"aɪ","ia",0,0,1,3,0,4,-Inf,-Inf,0,0.477121254719662,-Inf,0.602059991327962
"80",80,"aɪ","ie",0,0,4,0,6,10,-Inf,-Inf,0.602059991327962,-Inf,0.778151250383644,1
"81",81,"aɪ","igh",0,0,34,9,3,46,-Inf,-Inf,1.53147891704226,0.954242509439325,0.477121254719662,1.66275783168157
"82",82,"aɪ","igh_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"83",83,"aɪ","oy",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"84",84,"aɪ","uy",0,0,0,1,2,3,-Inf,-Inf,-Inf,0,0.301029995663981,0.477121254719662
"85",85,"aɪ","y",0,0,0,15,19,34,-Inf,-Inf,-Inf,1.17609125905568,1.27875360095283,1.53147891704226
"86",86,"aɪ","y_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"87",87,"aɪ","ye",0,0,0,0,2,2,-Inf,-Inf,-Inf,-Inf,0.301029995663981,0.301029995663981
"88",88,"eɪ","a",10,5,7,103,0,125,1,0.698970004336019,0.845098040014257,2.01283722470517,-Inf,2.09691001300806
"89",89,"eɪ","a_e",4,6,154,0,0,164,0.602059991327962,0.778151250383644,2.18752072083646,-Inf,-Inf,2.2148438480477
"90",90,"eɪ","ae",0,0,0,0,1,1,-Inf,-Inf,-Inf,-Inf,0,0
"91",91,"eɪ","ai",2,0,57,13,0,72,0.301029995663981,-Inf,1.75587485567249,1.11394335230684,-Inf,1.85733249643127
"92",92,"eɪ","ai_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"93",93,"eɪ","aigh",0,0,1,1,0,2,-Inf,-Inf,0,0,-Inf,0.301029995663981
"94",94,"eɪ","au_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"95",95,"eɪ","ay",0,0,2,14,43,59,-Inf,-Inf,0.301029995663981,1.14612803567824,1.63346845557959,1.77085201164214
"96",96,"eɪ","ay_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"97",97,"eɪ","aye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"98",98,"eɪ","e",0,0,0,0,1,1,-Inf,-Inf,-Inf,-Inf,0,0
"99",99,"eɪ","e_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"100",100,"eɪ","ea",0,0,3,0,1,4,-Inf,-Inf,0.477121254719662,-Inf,0,0.602059991327962
"101",101,"eɪ","ee",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"102",102,"eɪ","ei",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"103",103,"eɪ","ei_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"104",104,"eɪ","eigh",3,0,2,2,2,9,0.477121254719662,-Inf,0.301029995663981,0.301029995663981,0.301029995663981,0.954242509439325
"105",105,"eɪ","et",0,0,0,0,2,2,-Inf,-Inf,-Inf,-Inf,0.301029995663981,0.301029995663981
"106",106,"eɪ","ey",0,0,0,1,4,5,-Inf,-Inf,-Inf,0,0.602059991327962,0.698970004336019
"107",107,"eɪ","ez",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"108",108,"ɑ","a",13,3,134,25,3,178,1.11394335230684,0.477121254719662,2.12710479836481,1.39794000867204,0.477121254719662,2.25042000230889
"109",109,"ɑ","a_e",1,0,11,0,0,12,0,-Inf,1.04139268515823,-Inf,-Inf,1.07918124604762
"110",110,"ɑ","aa",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"111",111,"ɑ","aah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"112",112,"ɑ","ach",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"113",113,"ɑ","ah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"114",114,"ɑ","au",2,0,2,3,0,7,0.301029995663981,-Inf,0.301029995663981,0.477121254719662,-Inf,0.845098040014257
"115",115,"ɑ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"116",116,"ɑ","aw",0,0,0,2,2,4,-Inf,-Inf,-Inf,0.301029995663981,0.301029995663981,0.602059991327962
"117",117,"ɑ","e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"118",118,"ɑ","ea",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"119",119,"ɑ","ho",2,0,0,2,0,4,0.301029995663981,-Inf,-Inf,0.301029995663981,-Inf,0.602059991327962
"120",120,"ɑ","i",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"121",121,"ɑ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"122",122,"ɑ","o",16,0,140,113,0,269,1.20411998265592,-Inf,2.14612803567824,2.05307844348342,-Inf,2.42975228000241
"123",123,"ɑ","o_e",1,0,3,0,0,4,0,-Inf,0.477121254719662,-Inf,-Inf,0.602059991327962
"124",124,"ɑ","oh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"125",125,"ɑ","ou",3,0,0,0,0,3,0.477121254719662,-Inf,-Inf,-Inf,-Inf,0.477121254719662
"126",126,"ɑ","ow",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"127",127,"b","b",372,182,1,12,41,608,2.5705429398819,2.26007138798507,0,1.07918124604762,1.61278385671974,2.78390357927274
"128",128,"b","bb",0,23,0,0,0,23,-Inf,1.36172783601759,-Inf,-Inf,-Inf,1.36172783601759
"129",129,"b","br",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"130",130,"b","pb",0,2,0,0,0,2,-Inf,0.301029995663981,-Inf,-Inf,-Inf,0.301029995663981
"131",131,"ɔ","a",5,0,48,5,0,58,0.698970004336019,-Inf,1.68124123737559,0.698970004336019,-Inf,1.76342799356294
"132",132,"ɔ","a_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"133",133,"ɔ","ao",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"134",134,"ɔ","au",8,0,8,1,0,17,0.903089986991944,-Inf,0.903089986991944,0,-Inf,1.23044892137827
"135",135,"ɔ","au_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"136",136,"ɔ","augh",0,0,2,3,0,5,-Inf,-Inf,0.301029995663981,0.477121254719662,-Inf,0.698970004336019
"137",137,"ɔ","aw",1,0,7,3,11,22,0,-Inf,0.845098040014257,0.477121254719662,1.04139268515823,1.34242268082221
"138",138,"ɔ","awe",1,0,2,0,0,3,0,-Inf,0.301029995663981,-Inf,-Inf,0.477121254719662
"139",139,"ɔ","eo",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"140",140,"ɔ","eo_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"141",141,"ɔ","hau",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"142",142,"ɔ","o",17,0,119,24,0,160,1.23044892137827,-Inf,2.07554696139253,1.38021124171161,-Inf,2.20411998265592
"143",143,"ɔ","o_e",1,0,30,0,0,31,0,-Inf,1.47712125471966,-Inf,-Inf,1.49136169383427
"144",144,"ɔ","oa",1,0,8,0,0,9,0,-Inf,0.903089986991944,-Inf,-Inf,0.954242509439325
"145",145,"ɔ","oa_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"146",146,"ɔ","oo",0,0,12,1,0,13,-Inf,-Inf,1.07918124604762,0,-Inf,1.11394335230684
"147",147,"ɔ","oo_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"148",148,"ɔ","ou",0,0,9,0,0,9,-Inf,-Inf,0.954242509439325,-Inf,-Inf,0.954242509439325
"149",149,"ɔ","ou_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"150",150,"ɔ","ough",0,0,6,0,0,6,-Inf,-Inf,0.778151250383644,-Inf,-Inf,0.778151250383644
"151",151,"tʃ","c",3,0,0,0,0,3,0.477121254719662,-Inf,-Inf,-Inf,-Inf,0.477121254719662
"152",152,"tʃ","cc",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"153",153,"tʃ","ch",76,11,2,4,46,139,1.88081359228079,1.04139268515823,0.301029995663981,0.602059991327962,1.66275783168157,2.1430148002541
"154",154,"tʃ","ci",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"155",155,"tʃ","t",0,24,0,0,0,24,-Inf,1.38021124171161,-Inf,-Inf,-Inf,1.38021124171161
"156",156,"tʃ","tch",0,7,0,1,19,27,-Inf,0.845098040014257,-Inf,0,1.27875360095283,1.43136376415899
"157",157,"tʃ","ti",0,2,0,0,0,2,-Inf,0.301029995663981,-Inf,-Inf,-Inf,0.301029995663981
"158",158,"d","d",236,199,17,68,293,813,2.37291200297011,2.29885307640971,1.23044892137827,1.83250891270624,2.46686762035411,2.91009054559407
"159",159,"d","dd",0,26,0,1,2,29,-Inf,1.41497334797082,-Inf,0,0.301029995663981,1.46239799789896
"160",160,"d","ddh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"161",161,"d","ed",0,0,0,0,13,13,-Inf,-Inf,-Inf,-Inf,1.11394335230684,1.11394335230684
"162",162,"d","ld",0,0,0,0,3,3,-Inf,-Inf,-Inf,-Inf,0.477121254719662,0.477121254719662
"163",163,"ð","th",15,33,4,1,7,60,1.17609125905568,1.51851393987789,0.602059991327962,0,0.845098040014257,1.77815125038364
"164",164,"ə","_e",0,1,143,0,0,144,-Inf,0,2.15533603746506,-Inf,-Inf,2.15836249209525
"165",165,"ə","a",70,19,74,82,38,283,1.84509804001426,1.27875360095283,1.86923171973098,1.91381385238372,1.57978359661681,2.45178643552429
"166",166,"ə","a_e",0,2,12,0,0,14,-Inf,0.301029995663981,1.07918124604762,-Inf,-Inf,1.14612803567824
"167",167,"ə","ae",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"168",168,"ə","ah",0,0,0,0,1,1,-Inf,-Inf,-Inf,-Inf,0,0
"169",169,"ə","ai",0,0,6,0,0,6,-Inf,-Inf,0.778151250383644,-Inf,-Inf,0.778151250383644
"170",170,"ə","au",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"171",171,"ə","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"172",172,"ə","e",1,15,229,53,1,299,0,1.17609125905568,2.35983548233989,1.72427586960079,0,2.47567118832443
"173",173,"ə","e_e",0,5,7,0,0,12,-Inf,0.698970004336019,0.845098040014257,-Inf,-Inf,1.07918124604762
"174",174,"ə","ea",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"175",175,"ə","ea_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"176",176,"ə","ei",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"177",177,"ə","eo",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"178",178,"ə","eou",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"179",179,"ə","ha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"180",180,"ə","he",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"181",181,"ə","hi",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"182",182,"ə","ho",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"183",183,"ə","i",0,2,21,53,0,76,-Inf,0.301029995663981,1.32221929473392,1.72427586960079,-Inf,1.88081359228079
"184",184,"ə","i_e",0,0,6,0,0,6,-Inf,-Inf,0.778151250383644,-Inf,-Inf,0.778151250383644
"185",185,"ə","ia",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"186",186,"ə","ia_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"187",187,"ə","ie",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"188",188,"ə","o",0,13,123,72,0,208,-Inf,1.11394335230684,2.0899051114394,1.85733249643127,-Inf,2.31806333496276
"189",189,"ə","o_e",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
