"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",139,15,569,308,0,1031,2.1430148002541,1.17609125905568,2.75511226639507,2.48855071650044,-Inf,3.01325866528352
"2",2,"æ","a_e",2,1,35,0,0,38,0.301029995663981,0,1.54406804435028,-Inf,-Inf,1.57978359661681
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"5",5,"æ","au",2,0,3,1,0,6,0.301029995663981,-Inf,0.477121254719662,0,-Inf,0.778151250383644
"6",6,"æ","ea",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"9",9,"ʌ","_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"10",10,"ʌ","a",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",6,0,26,40,0,72,0.778151250383644,-Inf,1.41497334797082,1.60205999132796,-Inf,1.85733249643127
"13",13,"ʌ","o_e",0,0,24,0,0,24,-Inf,-Inf,1.38021124171161,-Inf,-Inf,1.38021124171161
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"16",16,"ʌ","ou",0,0,10,8,0,18,-Inf,-Inf,1,0.903089986991944,-Inf,1.25527250510331
"17",17,"ʌ","u",75,1,362,132,0,570,1.8750612633917,0,2.55870857053317,2.12057393120585,-Inf,2.75587485567249
"18",18,"ʌ","u_e",0,0,13,0,0,13,-Inf,-Inf,1.11394335230684,-Inf,-Inf,1.11394335230684
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
