"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",26,2,152,52,0,232,1.41497334797082,0.301029995663981,2.18184358794477,1.7160033436348,-Inf,2.3654879848909
"2",2,"æ","a_e",0,1,5,0,0,6,-Inf,0,0.698970004336019,-Inf,-Inf,0.778151250383644
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"5",5,"æ","au",2,0,2,1,0,5,0.301029995663981,-Inf,0.301029995663981,0,-Inf,0.698970004336019
"6",6,"æ","ea",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"9",9,"ʌ","_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"10",10,"ʌ","a",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",5,0,10,15,0,30,0.698970004336019,-Inf,1,1.17609125905568,-Inf,1.47712125471966
"13",13,"ʌ","o_e",0,0,13,0,0,13,-Inf,-Inf,1.11394335230684,-Inf,-Inf,1.11394335230684
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"16",16,"ʌ","ou",0,0,3,5,0,8,-Inf,-Inf,0.477121254719662,0.698970004336019,-Inf,0.903089986991944
