"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",14,1,78,22,0,115,1.14612803567824,0,1.89209460269048,1.34242268082221,-Inf,2.06069784035361
"2",2,"æ","a_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"5",5,"æ","au",2,0,1,1,0,4,0.301029995663981,-Inf,0,0,-Inf,0.602059991327962
"6",6,"æ","ea",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"9",9,"ʌ","_e",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"10",10,"ʌ","a",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",1,0,8,9,0,18,0,-Inf,0.903089986991944,0.954242509439325,-Inf,1.25527250510331
"13",13,"ʌ","o_e",0,0,8,0,0,8,-Inf,-Inf,0.903089986991944,-Inf,-Inf,0.903089986991944
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"16",16,"ʌ","ou",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"17",17,"ʌ","u",10,0,50,20,0,80,1,-Inf,1.69897000433602,1.30102999566398,-Inf,1.90308998699194
"18",18,"ʌ","u_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
