"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",7,0,31,8,0,46,0.845098040014257,-Inf,1.49136169383427,0.903089986991944,-Inf,1.66275783168157
"2",2,"æ","a_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"5",5,"æ","au",0,0,1,1,0,2,-Inf,-Inf,0,0,-Inf,0.301029995663981
"6",6,"æ","ea",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"9",9,"ʌ","_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"10",10,"ʌ","a",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"11",11,"ʌ","au_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"12",12,"ʌ","o",1,0,0,6,0,7,0,-Inf,-Inf,0.778151250383644,-Inf,0.845098040014257
"13",13,"ʌ","o_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"14",14,"ʌ","oe",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"15",15,"ʌ","oo",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"16",16,"ʌ","ou",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"17",17,"ʌ","u",4,0,14,5,0,23,0.602059991327962,-Inf,1.14612803567824,0.698970004336019,-Inf,1.36172783601759
"18",18,"ʌ","u_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"20",20,"ɪ","a",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"21",21,"ɪ","a_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"22",22,"ɪ","e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"23",23,"ɪ","e_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"24",24,"ɪ","ea",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
