"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"53",53,"ɚ","ea_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"54",54,"ɚ","eu",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"55",55,"ɚ","he",1,0,1,0,0,2,0,-Inf,0,-Inf,-Inf,0.301029995663981
"56",56,"ɚ","i",0,0,52,0,0,52,-Inf,-Inf,1.7160033436348,-Inf,-Inf,1.7160033436348
"57",57,"ɚ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"58",58,"ɚ","o",2,4,115,0,0,121,0.301029995663981,0.602059991327962,2.06069784035361,-Inf,-Inf,2.08278537031645
"59",59,"ɚ","o_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"60",60,"ɚ","oa",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"61",61,"ɚ","ou",0,0,11,0,0,11,-Inf,-Inf,1.04139268515823,-Inf,-Inf,1.04139268515823
"62",62,"ɚ","ou_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"63",63,"ɚ","r",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"64",64,"ɚ","u",4,7,76,0,0,87,0.602059991327962,0.845098040014257,1.88081359228079,-Inf,-Inf,1.93951925261862
"65",65,"ɚ","u_e",1,0,43,0,0,44,0,-Inf,1.63346845557959,-Inf,-Inf,1.64345267648619
"66",66,"ɚ","y",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"67",67,"aɪ","a",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"68",68,"aɪ","ae",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"69",69,"aɪ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"70",70,"aɪ","ai_e",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"71",71,"aɪ","ay",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"72",72,"aɪ","aye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"73",73,"aɪ","ei",1,0,0,2,0,3,0,-Inf,-Inf,0.301029995663981,-Inf,0.477121254719662
"74",74,"aɪ","eigh",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"75",75,"aɪ","ey",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"76",76,"aɪ","eye",12,0,0,0,0,12,1.07918124604762,-Inf,-Inf,-Inf,-Inf,1.07918124604762
"77",77,"aɪ","i",11,0,40,121,0,172,1.04139268515823,-Inf,1.60205999132796,2.08278537031645,-Inf,2.23552844690755
"78",78,"aɪ","i_e",4,1,199,0,0,204,0.602059991327962,0,2.29885307640971,-Inf,-Inf,2.3096301674259
"79",79,"aɪ","ia",0,0,2,3,0,5,-Inf,-Inf,0.301029995663981,0.477121254719662,-Inf,0.698970004336019
"80",80,"aɪ","ie",0,0,7,0,6,13,-Inf,-Inf,0.845098040014257,-Inf,0.778151250383644,1.11394335230684
"81",81,"aɪ","igh",0,0,36,9,3,48,-Inf,-Inf,1.55630250076729,0.954242509439325,0.477121254719662,1.68124123737559
"82",82,"aɪ","igh_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"83",83,"aɪ","oy",0,0,0,2,0,2,-Inf,-Inf,-Inf,0.301029995663981,-Inf,0.301029995663981
"84",84,"aɪ","uy",0,0,0,1,2,3,-Inf,-Inf,-Inf,0,0.301029995663981,0.477121254719662
"85",85,"aɪ","y",0,0,0,17,29,46,-Inf,-Inf,-Inf,1.23044892137827,1.46239799789896,1.66275783168157
"86",86,"aɪ","y_e",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"87",87,"aɪ","ye",0,0,0,0,3,3,-Inf,-Inf,-Inf,-Inf,0.477121254719662,0.477121254719662
"88",88,"eɪ","a",12,10,10,154,0,186,1.07918124604762,1,1,2.18752072083646,-Inf,2.26951294421792
"89",89,"eɪ","a_e",5,13,219,0,0,237,0.698970004336019,1.11394335230684,2.34044411484012,-Inf,-Inf,2.3747483460101
"90",90,"eɪ","ae",0,0,0,0,1,1,-Inf,-Inf,-Inf,-Inf,0,0
"91",91,"eɪ","ai",2,0,77,17,0,96,0.301029995663981,-Inf,1.88649072517248,1.23044892137827,-Inf,1.98227123303957
"92",92,"eɪ","ai_e",1,0,4,0,0,5,0,-Inf,0.602059991327962,-Inf,-Inf,0.698970004336019
"93",93,"eɪ","aigh",0,0,1,1,0,2,-Inf,-Inf,0,0,-Inf,0.301029995663981
"94",94,"eɪ","au_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"95",95,"eɪ","ay",0,0,2,17,53,72,-Inf,-Inf,0.301029995663981,1.23044892137827,1.72427586960079,1.85733249643127
"96",96,"eɪ","ay_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"97",97,"eɪ","aye",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"98",98,"eɪ","e",0,0,0,1,1,2,-Inf,-Inf,-Inf,0,0,0.301029995663981
"99",99,"eɪ","e_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"100",100,"eɪ","ea",0,0,3,0,1,4,-Inf,-Inf,0.477121254719662,-Inf,0,0.602059991327962
"101",101,"eɪ","ee",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"102",102,"eɪ","ei",0,0,5,0,0,5,-Inf,-Inf,0.698970004336019,-Inf,-Inf,0.698970004336019
"103",103,"eɪ","ei_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"104",104,"eɪ","eigh",3,0,2,2,3,10,0.477121254719662,-Inf,0.301029995663981,0.301029995663981,0.477121254719662,1
"105",105,"eɪ","et",0,0,0,0,3,3,-Inf,-Inf,-Inf,-Inf,0.477121254719662,0.477121254719662
"106",106,"eɪ","ey",0,0,0,1,6,7,-Inf,-Inf,-Inf,0,0.778151250383644,0.845098040014257
"107",107,"eɪ","ez",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"108",108,"ɑ","a",22,3,182,32,3,242,1.34242268082221,0.477121254719662,2.26007138798507,1.50514997831991,0.477121254719662,2.38381536598043
"109",109,"ɑ","a_e",1,0,12,0,0,13,0,-Inf,1.07918124604762,-Inf,-Inf,1.11394335230684
"110",110,"ɑ","aa",1,0,0,0,0,1,0,-Inf,-Inf,-Inf,-Inf,0
"111",111,"ɑ","aah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"112",112,"ɑ","ach",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"113",113,"ɑ","ah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"114",114,"ɑ","au",4,0,3,3,0,10,0.602059991327962,-Inf,0.477121254719662,0.477121254719662,-Inf,1
"115",115,"ɑ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"116",116,"ɑ","aw",0,0,0,2,2,4,-Inf,-Inf,-Inf,0.301029995663981,0.301029995663981,0.602059991327962
"117",117,"ɑ","e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"118",118,"ɑ","ea",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"119",119,"ɑ","ho",4,0,0,2,0,6,0.602059991327962,-Inf,-Inf,0.301029995663981,-Inf,0.778151250383644
"120",120,"ɑ","i",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"121",121,"ɑ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"122",122,"ɑ","o",22,3,196,160,0,381,1.34242268082221,0.477121254719662,2.29225607135648,2.20411998265592,-Inf,2.58092497567562
"123",123,"ɑ","o_e",1,0,8,0,0,9,0,-Inf,0.903089986991944,-Inf,-Inf,0.954242509439325
"124",124,"ɑ","oh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"125",125,"ɑ","ou",3,0,0,0,0,3,0.477121254719662,-Inf,-Inf,-Inf,-Inf,0.477121254719662
"126",126,"ɑ","ow",0,0,0,2,0,2,-Inf,-Inf,-Inf,0.301029995663981,-Inf,0.301029995663981
"127",127,"b","b",483,251,1,20,63,818,2.68394713075151,2.39967372148104,0,1.30102999566398,1.79934054945358,2.91275330367132
"128",128,"b","bb",0,27,0,0,0,27,-Inf,1.43136376415899,-Inf,-Inf,-Inf,1.43136376415899
"129",129,"b","br",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"130",130,"b","pb",0,2,0,0,0,2,-Inf,0.301029995663981,-Inf,-Inf,-Inf,0.301029995663981
"131",131,"ɔ","a",6,0,60,6,0,72,0.778151250383644,-Inf,1.77815125038364,0.778151250383644,-Inf,1.85733249643127
"132",132,"ɔ","a_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"133",133,"ɔ","ao",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"134",134,"ɔ","au",11,0,10,4,0,25,1.04139268515823,-Inf,1,0.602059991327962,-Inf,1.39794000867204
"135",135,"ɔ","au_e",0,0,8,0,0,8,-Inf,-Inf,0.903089986991944,-Inf,-Inf,0.903089986991944
"136",136,"ɔ","augh",0,0,2,4,0,6,-Inf,-Inf,0.301029995663981,0.602059991327962,-Inf,0.778151250383644
"137",137,"ɔ","aw",2,0,13,5,19,39,0.301029995663981,-Inf,1.11394335230684,0.698970004336019,1.27875360095283,1.5910646070265
"138",138,"ɔ","awe",1,0,2,0,0,3,0,-Inf,0.301029995663981,-Inf,-Inf,0.477121254719662
"139",139,"ɔ","eo",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"140",140,"ɔ","eo_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"141",141,"ɔ","hau",0,2,0,0,0,2,-Inf,0.301029995663981,-Inf,-Inf,-Inf,0.301029995663981
"142",142,"ɔ","o",26,1,160,36,0,223,1.41497334797082,0,2.20411998265592,1.55630250076729,-Inf,2.34830486304816
"143",143,"ɔ","o_e",1,0,39,0,0,40,0,-Inf,1.5910646070265,-Inf,-Inf,1.60205999132796
"144",144,"ɔ","oa",1,0,11,0,0,12,0,-Inf,1.04139268515823,-Inf,-Inf,1.07918124604762
"145",145,"ɔ","oa_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
